,title,finishYn,Score,artist,latest_upload,page url,intro,genres,form,id,img_url
0,독립일기,N,"
9.97
",자까,2021.09.22,http://comic.naver.com/webtoon/list?titleId=748105,처음으로 나만의 집이 생긴다면? 자까 작가의 나혼자 사는 이야기,daily,컷툰,748105,https://shared-comic.pstatic.net/thumb/webtoon/748105/thumbnail/thumbnail_IMAG10_becd3e24-cc09-4243-a1c9-646270f4a8db.jpg
1,오빠세끼,N,"
9.52
",올리브유,2021.09.22,http://comic.naver.com/webtoon/list?titleId=758659,"우리학교 인기남 3인방이 누군가에게는 노답 친오빠!?주목받는건 질색! 조용하고 존재감 없는 평범한 삶을 추구하는 해주에게는 걸어만 다녀도 튀게 잘생긴 오빠들이 있다.해주는 오빠들의 동생임을 숨기며 학교를 다니지만, 결국 들켜버리게 되는데...과연 해주는 오빠들이 있는 학교에서 자신의 목표를 이룰수 있을까?",daily,scroll,758659,https://shared-comic.pstatic.net/thumb/webtoon/758659/thumbnail/thumbnail_IMAG10_fe96051e-237c-4e03-8467-cb4a88803983.jpg
2,노곤하개,N,"
9.98
",홍끼,2021.09.21,http://comic.naver.com/webtoon/list?titleId=702672,귀여운 멍멍이들과 함께하는노곤하지 않은 일상 이야기,daily,컷툰,702672,https://shared-comic.pstatic.net/thumb/webtoon/702672/thumbnail/thumbnail_IMAG10_fc61362a-daff-4129-a2bf-d821fcff42bf.jpg
3,닥터앤닥터 육아일기,N,"
9.96
",닥터베르,2021.09.21,http://comic.naver.com/webtoon/list?titleId=732955,"산부인과 의사 엄마의 임신과 출산, 공학박사 아빠의 논문 기반 육아.완벽할 것만 같은 이들의 앞길은 과연 순탄할까?탄탄대로를 달리던 두 사람의 좌충우돌, 우여곡절 중구난방 육아 이야기!웃다 울고, 울다가 웃게 되는 최고의 항문용 발모제툰!",daily,scroll,732955,https://shared-comic.pstatic.net/thumb/webtoon/732955/thumbnail/thumbnail_IMAG10_404a37ed-7552-41bb-8138-3ea97cc7bb03.jpg
4,윌유메리미,N,"
9.93
",마인드C,2021.09.20,http://comic.naver.com/webtoon/list?titleId=616239,"외모는 상남자, 마음은 감성소녀 윌.외모는 청순녀, 마음은 터프가이 메리! 서울 부산 띠동갑 커플의 리얼 연애 일기",daily,scroll,616239,https://shared-comic.pstatic.net/thumb/webtoon/616239/thumbnail/title_thumbnail_20161031214436_t83x90.jpg
5,결혼생활 그림일기,N,"
9.95
",은꼼지,2021.09.19,http://comic.naver.com/webtoon/list?titleId=741891,조용할 날 없는 우당탕탕 두 짐승의 결혼생활 이야기!,daily,scroll,741891,https://shared-comic.pstatic.net/thumb/webtoon/741891/thumbnail/thumbnail_IMAG10_0493a07d-a793-44e7-b6f8-7c2439cc61c9.jpg
6,수영만화일기,N,"
9.90
",해오,2021.09.22,http://comic.naver.com/webtoon/list?titleId=768534,"백수 겸 만화가지망생 해오, 저질체력에서 벗어나기 위해 수영에 도전!작심삼일이리라는 예상과는 다르게 어느새 수영에 익숙해진다.'이게 대체 어떻게 된 일이야? 나…… 수영을 사랑하게 된 걸까?'그렇게 수영을 익혀가면서 점차 몸도 마음도 성장해나가는데…….불확실한 미래를 안고 살아가지만, 해오는 오늘도 수영한다.",daily,scroll,768534,https://shared-comic.pstatic.net/thumb/webtoon/768534/thumbnail/thumbnail_IMAG10_aa734331-7228-4c02-9276-fbb7fcd27ef8.jpg
7,웰캄투실버라이프,N,"
9.98
",솔녀,2021.09.17,http://comic.naver.com/webtoon/list?titleId=749456,"보고만 있어도 힐링되는 할아버지, 할머니와의 일상! 라떼는 말이야~ 금지!! 황혼 청춘의 본격 소통 이야기",daily,scroll,749456,https://shared-comic.pstatic.net/thumb/webtoon/749456/thumbnail/thumbnail_IMAG10_daad9f61-f0d2-4043-aad0-0161a8003745.jpg
8,범이올시다!,N,"
9.98
",해,2021.09.21,http://comic.naver.com/webtoon/list?titleId=745589,호통 치는 영희 할머니와 무뚝뚝 소녀 방실이 앞에 나타난 정체불명의 고양...아니 호랑이?,daily,scroll,745589,https://shared-comic.pstatic.net/thumb/webtoon/745589/thumbnail/thumbnail_IMAG10_2ca10058-1492-42c0-83a2-b16732dd825b.jpg
9,지원이들,N,"
9.88
",구리,2021.09.20,http://comic.naver.com/webtoon/list?titleId=775337,"평범한 고등학생 정지원은 자신과는 조금씩 다른 '지원이들'을 만난다.천사 같은 유지원과 웃긴 김지원, 완벽한 친구들을 사귀었다고 생각했는데...왜 자꾸 비교하게 되고 질투가 나는 걸까?그 시절 누구나 품었을 미운 마음을 담은 일상개그드라마!",daily,scroll,775337,https://shared-comic.pstatic.net/thumb/webtoon/775337/thumbnail/thumbnail_IMAG10_e8e5d678-27f0-438b-863d-0cd036ac3b39.jpg
10,고(故)노무현 前대통령 추모웹툰,Y,"
9.38
",웹툰작가,2009.05.29,http://comic.naver.com/webtoon/list?titleId=69113,"마음 깊이 애도합니다. 소박했던 그 웃음,오래도록 기억하겠습니다.추모 웹툰은 네이버, 다음, 야후, 네이트, 파란, 카툰부머 웹툰 작가님들이 함께 합니다.",daily,scroll,69113,https://shared-comic.pstatic.net/thumb/webtoon/69113/thumbnail/title_thumbnail_20090525191615_t83x90.jpg
11,2020 최애캐의 MBTI,Y,"
9.65
",웹툰작가,2020.09.26,http://comic.naver.com/webtoon/list?titleId=751013,"사랑, 갈등, 눈물.. 그래서 그랬구나내가 좋아하는 웹툰 주인공, 어떤 타입일까?최애캐들의 MBTI를 기대해주세요!",daily,컷툰,751013,https://shared-comic.pstatic.net/thumb/webtoon/751013/thumbnail/thumbnail_IMAG10_088fbe2f-79d5-4d62-b333-45ac4bfffc3c.jpg
12,골방환상곡,Y,"
9.92
",워니 / 심윤수,2008.12.24,http://comic.naver.com/webtoon/list?titleId=15441,공감 100% 에 도전한다~ 절대 센스 Wony와 함께하는 골방 환상곡! 네이버 전격 오픈! 늑대 워니와 그의 친구 곰이 보여주는 리얼 공감 스토리~,daily,scroll,15441,https://shared-comic.pstatic.net/thumb/webtoon/15441/thumbnail/thumbnail_title_15441_83x90.gif
13,하루 3컷,Y,"
9.90
",배진수,2018.08.24,http://comic.naver.com/webtoon/list?titleId=644180,당신의 하루 중 가장 가벼운 3초.,daily,scroll,644180,https://shared-comic.pstatic.net/thumb/webtoon/644180/thumbnail/title_thumbnail_20141231175152_t83x90.jpg
14,자취로운 생활,Y,"
9.91
",츄카피,2020.04.30,http://comic.naver.com/webtoon/list?titleId=714834,츄카피의 신개념 방구석 서바이벌(?) 자취툰,daily,scroll,714834,https://shared-comic.pstatic.net/thumb/webtoon/714834/thumbnail/thumbnail_IMAG10_e8f48301-bbcf-40d2-ac92-9a8e45ee2d5d.jpg
15,생활의참견,Y,"
9.95
",김양수,2017.09.03,http://comic.naver.com/webtoon/list?titleId=25613,"쉽게 지나치는 일상과 지나간 추억 속에서 발견하는 유쾌한 웃음, 삶의 유머를 녹여낸 황당유쾌추억생활만화!",daily,scroll,25613,https://shared-comic.pstatic.net/thumb/webtoon/25613/thumbnail/title_thumbnail_20140103150651_t83x90.jpg
16,달콤한 인생,Y,"
9.95
",이동건,2013.04.28,http://comic.naver.com/webtoon/list?titleId=387518,커플과 싱글들의 달콤한 이야기 직장인과 백수들의 달콤한 에피소드 ...그런데 왜 이렇게 씁쓸한거지?,daily,scroll,387518,https://shared-comic.pstatic.net/thumb/webtoon/387518/thumbnail/title_thumbnail_20120309181013_t83x90.jpg
17,터치! 메리크리스마스,Y,"
9.78
",웹툰작가,2014.01.07,http://comic.naver.com/webtoon/list?titleId=604147,요즘은 뭘 하며 지내고 있을까? 근황이 궁금했던 작가들이 돌아왔다!개성 만점 크리스마스 단편선을 스마트툰으로 만나보세요,daily,scroll,604147,https://shared-comic.pstatic.net/thumb/webtoon/604147/thumbnail/title_thumbnail_20131217181504_t83x90.jpg
