,title,no,ID,nick,content,date,like,dislike
0,귀인,49,(0407****),진우,다들 뭐하나,2021-04-23 00:46,0,0
1,귀인,49,(nuha****),누하하,후기도 안남기시고..,2021-04-23 00:46,0,0
2,귀인,49,(nuri****),nur,대작 영화 한 편 잘 보았습니다.,2021-04-23 00:46,0,0
3,귀인,49,(hjsk****),mostrik,와,2021-04-23 00:46,0,0
4,귀인,49,(i282****),사막여우,한편의 영화를 본것같다,2021-04-23 00:46,0,0
5,귀인,49,(fanc****),monn,킬러 캐릭터가 너무 애매하고 결말도 역시 애매모호. 가짜 이강석 재판 이후에 스토리가 두루뭉술해진 것 같음.,2021-04-23 00:46,0,0
6,귀인,49,(cjkd****),부자될거임,굿,2021-04-23 00:46,0,0
7,귀인,49,(lks3****),아라하마파마,뭐가 열린 결말이란거지 양춘식 킬러한테 목졸라 살해 당하고 끝이구만,2021-04-23 00:46,0,0
8,귀인,49,(yhop****),악당계 레전드 조커,계집 한테 첨부터 잘해줄 필요가 없다 왜냐 난제 저렇게 통수 맞고 배신 당하거든 다시 한번 좋은 교훈 새겨 듣고 갑니더 춘식이 불쌍타 살려내라 ㅠㅠ,2021-04-23 00:46,0,0
9,귀인,49,(dddi****),죠스바,왤케 눈물이나냐,2021-04-23 00:46,0,0
10,귀인,49,(bdbd****),깡돌이,이틀간에걸쳐 정독했습니다생각지도않은 반전 스토리 잠시나마 멍때리게되네요,2021-04-23 00:46,0,0
11,귀인,49,(askm****),이석룡,아무생각없이 시간 때우려고 완결난 작품을 찾다가 보게 되었는데 가슴이 먹먹한게 멍하네요... 여운이 가시질 않습니다,2021-04-23 00:46,0,0
12,귀인,49,(unin****),,진심 열린결말이네요..^^;두번보니 더 알 수 없네요..,2021-04-23 00:46,0,0
13,귀인,49,(yms6****),하늘사랑,아무생각없이 밧다가 확 몰입됫어ㅜㅜ춘식이 어떻게 된건가요?,2021-04-23 00:46,0,0
14,귀인,49,(v786****),뭐할까,얼라다ㅋㅋㅋ,2021-04-23 00:46,0,0
15,귀인,49,(anwl****),정민지,뒤늦게 이 웹툰을 알게 되고 이틀사이에 밤 꼴딱세면서 완주할정도로 넘넘 빠져들었어요ㅠㅋ너무 감동적이였어요 영화한편을 보는듯한..그림체도 시대나 스토리랑 잘맞고 컷마다 표현력이 ..마지막에 어찌나 울었는지 ㅜㅜ 끝나서 아쉬워요 한번더 정주행하려구요 작가님 감사합니다 이런 시대극 스토리로 또 연재해주세요!,2020-07-30 22:59,2,0
16,귀인,49,(yjy1****),개청순,만화보고 눈물흘린건 죽음에관하여 이후로 처음이다,2020-07-30 22:59,2,0
