,title,no,ID,nick,content,date,like,dislike
0,봉이 김선달,7,(melo****),리드미컬멜로디,두둥!,6시간 전,0,0
1,봉이 김선달,7,(jyij****),opportunity,오우씨 이거 재밌네,6시간 전,0,0
2,봉이 김선달,7,(mggw****),무소의뿔,7화 이후는 스토어에서 사서 보는거구나.....,6시간 전,0,0
3,봉이 김선달,7,(netc****),신성태,아 열받는다 조선시대나 지금이나 변한게 하나도 없다 아 씨붕,6시간 전,0,0
4,봉이 김선달,7,(jjun****),어서오세요 고갱,아니 나만 이해안가냐평양 평양 노래를 불렀는데이맛에 평안 감사를 하냐 이게 뭐야,6시간 전,0,0
5,봉이 김선달,7,(aznf****),hjng,저 조씨 후손이 조국임??,6시간 전,0,0
6,봉이 김선달,7,(kjy1****),역사천재2,돈에는 꿈쩍안하다가 하석이 사위준다니까 바로 수긍하네 ㅋㅋㅋ ㅠㅠ,6시간 전,0,0
7,봉이 김선달,7,(hsle****),밥우,조선시대에 저런 모양의 잔이 있었나요?,6시간 전,0,0
8,봉이 김선달,7,(psh0****),박상현,길상이.. 서자구나..,6시간 전,0,0
9,봉이 김선달,7,(rbgu****),규,응 진짜 사위 아냐~ 사위는 딸래미 맘이야,6시간 전,0,0
10,봉이 김선달,7,(mokp****),건축 김주성,감사,6시간 전,0,0
11,봉이 김선달,7,(9192****),후루끼끼,명작 + 대작 = 앙개꿀띠작,6시간 전,0,0
12,봉이 김선달,7,(sora****),냥이v,재미있어요 ^^댓글이 왜이렇게 적을까요ㅠㅠ,6시간 전,0,0
13,봉이 김선달,7,(choh****),비숍,아 ㅅㅂ 쟤 검열해주세요,6시간 전,0,0
14,봉이 김선달,7,(dhfp****),7급공무원,"크.. 문무과 급제인데 벼슬을 못얻어?? 허허.. 사법,행정고시 합격해도 일 못하는격이네..",6시간 전,0,0
15,봉이 김선달,7,(ydni****),하은,존나재밌는데?,2020-12-08 18:26,0,0
16,봉이 김선달,7,(dnfl****),단단,페이버 독자 수준 운운 ヲヲ㉪ 일진미화물 주독자 층은 남성들인거 모르나,2020-12-08 18:26,0,0
17,봉이 김선달,7,(kgwb****),루이닐,물세....ㅋㅋ,2020-12-08 18:26,0,0
18,봉이 김선달,7,(pres****),김태윤,댓수 15개 애바다......,2020-12-08 18:26,0,0
19,봉이 김선달,7,(edwa****),이근영,역시 일진 씹덕 연애물은 잘도보면서 이런건 안보는 페미버 독자수준,2020-12-08 18:26,0,0
20,봉이 김선달,7,(kdh0****),김뽀득,댓글 수 왜이럼 ㅋ,2020-12-08 18:26,0,0
21,봉이 김선달,7,(cjy2****),Dren,이게 조선 일진물이지 아니면 뭐냐.. 틀딱이 폭정 휘두르는 거나 뭐나 똑같지,2020-12-08 18:26,0,0
22,봉이 김선달,7,(jani****),유비뱀이 울부지져따,아 댓글 수 실화냐ㅋㅋ,2020-12-08 18:26,0,0
23,봉이 김선달,7,(bero****),,재밋다,2020-12-08 18:26,0,0
24,봉이 김선달,7,(june****),르테이,에이 뭐야대놓고 명작이라고 써붙여놨네,2020-12-08 18:26,0,0
25,봉이 김선달,7,(2bel****),lonlyway,별점 왤케 낮음?,2020-12-08 18:26,0,0
