,title,no,ID,nick,content,date,like,dislike
0,삵의 발톱,16,(kgwb****),루이닐,죽으러 가는군!,2021-04-09 20:37,0,0
1,삵의 발톱,16,(haeu****),swim,와우,2021-04-09 20:37,0,0
2,삵의 발톱,16,(yd53****),인덕,댓,2021-04-09 20:37,0,0
3,삵의 발톱,16,(yjyj****),기율경,작가의 노고가 듬뿍 느껴지는 그림체~ 스토리도 굿,2021-04-09 20:37,0,0
4,삵의 발톱,16,(dong****),,아우한테서 주유소 습격사건의 유오성이 보엿다 ㅋㅋㅋ난 한놈만패 다 죽는다~~!!ㅋㅋ,2021-04-09 20:37,0,0
5,삵의 발톱,16,(xkr6****),안녕하세요,1:2000개애바친다 대장까지 2001:1,2021-04-09 20:37,0,0
6,삵의 발톱,16,(wans****),,ㅇㅅㅇ,2021-04-09 20:37,0,0
7,삵의 발톱,16,(nidf****),rim0505,스읍... 잘가,2021-04-09 20:37,0,0
8,삵의 발톱,16,(pca0****),촤,ㅋㅋㅋ좋은옷입은놈나오라고~!!,2021-04-09 20:37,0,0
9,삵의 발톱,16,(ora9****),오라오라,최고입니다~~^^,2021-04-09 20:37,0,0
10,삵의 발톱,16,(na62****),달래달래열매,아우화팅,2021-04-09 20:37,0,0
11,삵의 발톱,16,(rlae****),,잘보고있어요,2021-04-09 20:37,0,0
12,삵의 발톱,16,(hyun****),이현복,베뎃님 조자룡의충성도+여포의무력+장비의몸집과아이큐입니다,2021-04-09 20:37,0,0
13,삵의 발톱,16,(dudg****),바꿨음ㅋ,정주행이상무,2021-04-09 20:37,0,0
14,삵의 발톱,16,(lion****),,개쩜... 원래 저런 멍청한 캐릭이 사기캐 ㅋㅋ,2021-04-09 20:37,0,0
15,삵의 발톱,16,(doub****),나의종,사기캐릭,2013-08-06 14:36,0,0
16,삵의 발톱,16,(ejki****),울랄라,조씨가많군 아 중국조쎄지,2013-08-06 14:36,0,0
17,삵의 발톱,16,(malg****),맑은빛,주 율이 주 아우보다 더 센 듯 한데 작전만 짜네요.,2013-08-06 14:36,0,0
18,삵의 발톱,16,(kwhh****),멋쥔미소,오호,2013-08-06 14:36,0,0
19,삵의 발톱,16,(kk36****),통키,댓글달고가,2013-08-06 14:36,0,0
20,삵의 발톱,16,(p2sv****),,최강웹툰!,2013-08-06 14:36,0,0
21,삵의 발톱,16,(rlaw****),꼬맹이,여기서 좀실망... 아무리 강한장수라도 2000은무리임...,2013-08-06 14:36,0,0
