,title,no,ID,nick,content,date,like,dislike
0,왕으로 살다,4,(jw39****),김정원,스포하지마라,2021-02-15 20:08,0,0
1,왕으로 살다,4,(jw39****),김정원,스포하지마라,2021-02-15 20:08,0,0
2,왕으로 살다,4,(jw39****),김정원,스포하지마라,2021-02-15 20:08,0,0
3,왕으로 살다,4,(jw39****),김정원,스포하지마라,2021-02-15 20:08,0,0
4,왕으로 살다,4,(pol4****),,스포 왜 하는거야..,2021-02-15 20:08,0,0
5,왕으로 살다,4,(gold****),gol,스포내리기,2021-02-15 20:08,0,0
6,왕으로 살다,4,(gold****),gol,스포내리기,2021-02-15 20:08,0,0
7,왕으로 살다,4,(gold****),gol,스포 내리기,2021-02-15 20:08,0,0
8,왕으로 살다,4,(gold****),gol,스포 내리기,2021-02-15 20:08,0,0
9,왕으로 살다,4,(jiye****),jiy,그 공주 꿈에나온 활쏘는애가 범인 아님? 예지몽있잖아 예지몽,2021-02-15 20:08,0,0
10,왕으로 살다,4,(haji****),또롸이,네이버 너... 진짜.... 내가 쿠키쓰면서 목요일 기대하면서 쓴 웹툰인데 왜 잠가놔... 보고 싶다고....,2021-02-15 20:08,0,0
11,왕으로 살다,4,(stel****),유우야캐,"끝까지 보고온 살람 인데, 오빠 안죽었어요",2021-02-15 20:08,0,0
12,왕으로 살다,4,(bke3****),2510,마지막베댓 성지순례 ㄹㅇ,2021-02-15 20:08,0,0
13,왕으로 살다,4,(vivi****),정다인,추천완결 해주세요ㅜㅜㅜㅜㅜㅜ,2021-02-15 20:08,0,0
14,왕으로 살다,4,(juan****),셸,왜 여기서 완결인지 이해불가,2021-02-15 20:08,0,0
15,왕으로 살다,4,(jsyg****),샤이닝피치,이거첫환가 화 수가 첫자리수 일때부터 봤는데 벌써 완결난지 오렌지네...,2020-04-17 16:58,4,0
16,왕으로 살다,4,(vsk1****),별하,와..이게 내가 5학년 때 보던건데 벌써 중1이라니..시간 빠르다..,2020-04-17 16:58,4,0
17,왕으로 살다,4,(ljk0****),ljk,존똑,2020-04-17 16:58,4,0
18,왕으로 살다,4,(suye****),고수연,이 웹툰이 제 최애 웹툰인데.. 제발 추천완결 해주세요ㅜㅜ 항상 기다렸다가 나오면 바로바로 볼껀데ㅠㅠ,2020-04-17 16:58,4,0
19,왕으로 살다,4,(heey****),희연,작가님 이거 추천완결 해주시면 안되나연..진짜 잘챙겨 볼 자신 있는데ㅜㅜㅜ,2020-04-17 16:58,4,0
20,왕으로 살다,4,(taey****),익명,이거 반전 심하고 재미있습니다 꼭 보세요 두번보세요,2020-04-17 16:58,4,0
21,왕으로 살다,4,(les0****),이은서,아 저번에 완결까지 다봣는데 올만에 볼려니까 쿠키 사야됭ㄷᆢ,2020-04-17 16:58,4,0
22,왕으로 살다,4,(ehdw****),안동재,뒤통수 오짐 ㅋㅋ ㅈㄴ재미ㅛ다,2020-04-17 16:58,4,0
23,왕으로 살다,4,(mwkd****),전설의검,보다보니 외발로살다가 생각났는데. 그 작가가 맞았네.,2020-04-17 16:58,4,0
24,왕으로 살다,4,(nast****),nas,아이거 레알 존잼인데 유료화됨...,2020-04-17 16:58,4,0
