,title,no,ID,nick,content,date,like,dislike
0,화산귀환,5,(nce5****),nce,허헣 실화냐?들어올건 없고 나갈껀 많네....이걸 어찌해야합니다...사부...,17분 전,0,0
1,화산귀환,5,(loki****),,빨리 종남파 나와라 종남파는 대가리 없대?,17분 전,0,0
2,화산귀환,5,(mazi****),psycho,몰아보려했는데 봐버렸다..,17분 전,0,0
3,화산귀환,5,(wkdr****),무혼,자까님 9화까지 봤는데 20화만 더 주시면 안될까요....,17분 전,0,0
4,화산귀환,5,(oraa****),,망해따.....1년은 묵혀둬어야 했는데.........,17분 전,0,0
5,화산귀환,5,(tdj0****),간지나는뉴요커,원래 화산전생만 봤었는데 이것도 엄청 재밌네 화산전생은 전생기억 가지고 인생 리셋하고 화산귀환은 전생기억 가지고 후대에 환생하고,17분 전,0,0
6,화산귀환,5,(yoon****),yoo,할배보고 설랬다,17분 전,0,0
7,화산귀환,5,(jimi****),깡깡장기하,저 상황에 빚 없는게 더 이상하지ㅋㅋㅋㅋ,17분 전,0,0
8,화산귀환,5,(thse****),하이,또 소설충들 지들이원하는장면 누락됐다고 ㅂㄷ거리네 ㅋ,17분 전,0,0
9,화산귀환,5,(gwaz****),햇님,근데 삼성도 빚 자체는 많은데..?,17분 전,0,0
10,화산귀환,5,(2l3s****),작은소년,부동산이라도. 남아서 다행이다. 생각했눈데 ㅎㅎㅎㅎㅎ 빚쟁이,17분 전,0,0
11,화산귀환,5,(ktkt****),YY,근데 저분들 어떻게 올라오심?ㅋㅋㅋ,17분 전,0,0
12,화산귀환,5,(sada****),sad,이게 뭐가 재밌다고ㅋㅋ?청명이가 재밌다고ㅋㅋ,17분 전,0,0
13,화산귀환,5,(heow****),난창조의신이다,스쿼트 정자세,17분 전,0,0
14,화산귀환,5,(naju****),naj,소설 적어도 1200화는 넘어야 완결일 것 같던데 또 완결나고 몰아보려니까 못참겟음 진짜 참아도 며칠안감...,17분 전,0,0
15,화산귀환,5,(aaok****),wiloes,걍 양산형 무협지네 무슨 군림천하급은 되는양 호들갑은,1일 전,0,14
16,화산귀환,5,(0je0****),pewpepw,어케 올라왔노,1일 전,0,14
17,화산귀환,5,(akoi****),산테,물건이다,1일 전,0,14
18,화산귀환,5,(dd83****),차오스,소설보다 만화로 보니 청명할아버지.. 귀여워.,1일 전,0,14
19,화산귀환,5,(tkdt****),격e,빚쟁이였어?ㅋㅋㅋㅋ,1일 전,0,14
20,화산귀환,5,(gust****),Qwerty,얼른 현영 장로님 행복사하는거 나왔음 좋겠다 ㅋㅋㅋㅋㅋㅋㅋㅋ,1일 전,0,14
21,화산귀환,5,(cjsw****),soul영혼,아효... 고생길밖에 없네,1일 전,0,14
22,화산귀환,5,(jsh_****),상현,존잼이라 짜증나ㅜㅜ,1일 전,0,14
23,화산귀환,5,(mini****),min,과거의 빛(화산의 인기)과 현재의 빛(돈)의 뜻이다르네;;;,1일 전,0,14
24,화산귀환,5,(kchy****),천천이이,고수를 대신하는걸로 ...,1일 전,0,14
25,화산귀환,5,(kchy****),천천이이,주인공이 화산의 최고라곤 하지만 소림 무당 마교의 최고수들을 상대하기엔 부족하지 않을까 싶네요,1일 전,0,14
26,화산귀환,5,(wkdx****),ll흑빛ll,여기 여초냐? 베댓 말투 왜저로노,1일 전,0,14
27,화산귀환,5,(keyh****),기호,웹소설을 보시면 아시겠지만 화산귀환 정말 꿀잼입니다..웹소설도 꼭 한번 보세요 ^^,1일 전,0,14
28,화산귀환,5,(rngn****),돌아이왕,대출잇어요 ㅋㅋㅋㅋㅋ,1일 전,0,14
29,화산귀환,5,(wjdd****),청명,좋아요 별점 댓글 안달고 가면 대대손손 머머리~,1일 전,0,14
30,화산귀환,5,(kore****),망태공,"얼굴만 봐도 누군지 알겠네 ㅋㅋㅋㅋ 조걸, 윤종 ㅋㅋ",3일 전,1,0
