,title,no,ID,nick,content,date,like,dislike
0,흐드러지다,11,(q1wo****),몸문화연구소,기무기무기무,2020-12-30 14:46,0,1
1,흐드러지다,11,(xxxi****),38,저당시 웹툰 결제는 진짜 충격이었음 지금이야 시간이 지났으니 저 댓글들이 거지근성처럼 보였겠지만 진짜 유료화 초창기엔 파장컸음ㅋㅋㅋㅋㅋ,2020-12-30 14:46,0,1
2,흐드러지다,11,(qpqp****),MCR,아 ㅋㅋ 이거 그당시에 전부다 구매하기로 해서 봤는데 이렇게 되있네,2020-12-30 14:46,0,1
3,흐드러지다,11,(coki****),ㅡ,유료화 됐으면 돈 내고 봐라,2020-12-30 14:46,0,1
4,흐드러지다,11,(peng****),,씹ㅡㅡ알 이제 보려는데! 왲!,2020-12-30 14:46,0,1
5,흐드러지다,11,(rien****),핀,이거 띵작이죠,2020-12-30 14:46,0,1
6,흐드러지다,11,(ll29****),이재용,51,2020-12-30 14:46,0,1
7,흐드러지다,11,(ddoo****),,13년도 국민수준이랑 19년도 국민수준그래도 점점 수준이 올라가는것같다,2020-12-30 14:46,0,1
8,흐드러지다,11,(pete****),원성연,베댓에 어찌 거지만 모였노..? 작가님은 그럼 뭘로 벌고사냐?? ㅋㅋㅋ,2020-12-30 14:46,0,1
9,흐드러지다,11,(yaan****),세련된호박,유료화 아쉽댘ㅋㅋㅋㅋㅋ 니들은 버스도 돈 안내고 타니????,2020-12-30 14:46,0,1
10,흐드러지다,11,(rudn****),땡깡,짱나짱나 ... ㅜㅜ 안봐안봐,2020-12-30 14:46,0,1
11,흐드러지다,11,(dlwl****),노 을,피에는피 이후 정주행중~~~,2020-12-30 14:46,0,1
12,흐드러지다,11,(poin****),쩜,돈 내고 봐러,2020-12-30 14:46,0,1
13,흐드러지다,11,(jyru****),,내눈에만 담편 유료로도 안보이나,2020-12-30 14:46,0,1
14,흐드러지다,11,(dhal****),알파칼라,사극 좋아하신다면 꼭 보세요!!! 갠적으로 기억에 남는 작품임,2020-12-30 14:46,0,1
15,흐드러지다,11,(k1al****),키키,돈좀내고봐 ㅋㅋㅋㅋㅋㅋㅋ웹툰은 창작물아니냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2018-09-14 10:41,11,1
16,흐드러지다,11,(jina****),,유료화는 아쉽지만 그만큼 가치가 있어요,2018-09-14 10:41,11,1
17,흐드러지다,11,(doni****),아샤빠순이핵극혐,베댓들 거지들 많네 ㅋㅋㅋㅋ 거지근성 쩐다,2018-09-14 10:41,11,1
18,흐드러지다,11,(zzan****),,우연히 생각나서왓네,2018-09-14 10:41,11,1
19,흐드러지다,11,(ee91****),고운,확실히 인식이 다르네....사실 이거 8000원도 아깝지않은작품인데 다들 그동안 웹툰을 너무 쉽게 보고있었던듯,2018-09-14 10:41,11,1
20,흐드러지다,11,(hajo****),부계정,후반부에 조금 애매한 전개가 있긴 했지만 그걸 감안하고도 엄청난 작품돈이 아깝다고 느껴지진 않았네요,2018-09-14 10:41,11,1
21,흐드러지다,11,(bts5****),컴터핥짝,ㅇ,2018-09-14 10:41,11,1
22,흐드러지다,11,(ls01****),나,작가도 먹고살아야죠,2018-09-14 10:41,11,1
