,title,no,ID,nick,content,date,like,dislike
0,1인용 기분,7,(yunm****),트리스타나,100% 계급나누기임. 모를 리가 없음,2021-03-18 05:10,3,0
1,1인용 기분,7,(yunm****),트리스타나,일부러 저렇게 붙이는거임. 저렇게 계급나눠서 차별대우하는 학교가 거의 대부분임,2021-03-18 05:10,3,0
2,1인용 기분,7,(time****),인오,결혼을 해서 얻는 행복이 뭔지 안 해보고 어떻게 알지? 그렇게 행복한 결혼 생활은 웹툰에서나 나오는 거 아닌가,2021-03-18 05:10,3,0
3,1인용 기분,7,(jyes****),허준우,디ㅡㅡㅡㅡ디 빵ㅡㅡ죠타ㅡㅡㅡ,2021-03-18 05:10,3,0
4,1인용 기분,7,(tjdd****),팩토리얼,여러분.. 댓창 들어갈 수 있는 회색바가 튀어나와있다면 지금 당장 땡땡이 점 세개 옆의 사진에 화살표 그려진 아이콘을 누르세요! 카톡에서 자기한테 보내서 다운하시면 됩니당,2021-03-18 05:10,3,0
5,1인용 기분,7,(yiyi****),어둠은빛을이길수없다,작가님 인스타 보시면 아시겠지만 작가님가 다다는 몇달전 결혼했습니다!,2021-03-18 05:10,3,0
6,1인용 기분,7,(gywl****),,어떤 느낌인지 알것같아요. 그래서 학생들 무상급식 적극 찬성했지요ㅎㅎ 밥한끼로 괜히 위축되고 숨기고 싶은 그런 마음..무상급식 이루어져서 참 다행이에요,2021-03-18 05:10,3,0
7,1인용 기분,7,(3388****),몽글몽글,14억이 적다는게 아니라 집값이 오지게 비싸다는거지,2021-03-18 05:10,3,0
8,1인용 기분,7,(zene****),쭌,ㅋㅋㅋㅋㅋㅋㅋ커욤,2021-03-18 05:10,3,0
9,1인용 기분,7,(yulh****),icecream,귀여워라~~ :),2021-03-18 05:10,3,0
10,1인용 기분,7,(cone****),정규원,"결혼은 돈이 전부가 아니라고 생각해요...! 결혼을 해서 얻는 행복을 생각하면 결혼은 꼭 해야겠다는 생각을 해요! 물론 제 생각이예요 제가 그러고 싶다구요 네,,,",2021-03-18 05:10,3,0
11,1인용 기분,7,(rlaw****),OvO,밑댓님...자신이 키워줄거 아니면 이해해주자...물론..생각하는게 다를수도 있지만.,2021-03-18 05:10,3,0
12,1인용 기분,7,(semi****),지호롭다,교무실에 붙여져있던거 맞네,2021-03-18 05:10,3,0
13,1인용 기분,7,(semi****),지호롭다,교무실같은데?,2021-03-18 05:10,3,0
14,1인용 기분,7,(yang****),yan,싫어요누르는애들은 금수전가 ㅋ,2021-03-18 05:10,3,0
15,1인용 기분,7,(paul****),,이 친구가 말을 하면서 어떤 심경이었는지 너무 궁금하네요.,2021-01-07 21:12,1,0
16,1인용 기분,7,(paul****),,어떻게 생각이 저리도 얕을 수가 있을까.,2021-01-07 21:12,1,0
17,1인용 기분,7,(cake****),조디,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아..아이없어... 아무런 표정없이 그냥 다 말해버리네... 진짜 너무하다 실제로 저런 애가 있다면 눈치가 없는거다..,2021-01-07 21:12,1,0
18,1인용 기분,7,(jong****),HL7495,돈없는데 고양이는 뭐하러 키우냐현실적으로 살자 좀.,2021-01-07 21:12,1,0
19,1인용 기분,7,(bett****),윰,뭐 그리 꼬치꼬치 캐묻노 ㅎ 사회생활도 꼭 그렇게 하길 친구야,2021-01-07 21:12,1,0
20,1인용 기분,7,(7031****),GM사리,안하면 나중에 노후자금 없어요,2021-01-07 21:12,1,0
21,1인용 기분,7,(thdt****),앵념쓰,근데 집가난한게 내가잘못한게 아니고 엄빠탓인데 그걸왜 내가창피해야함? 난걍 꽁밥JMT이러면서 자랑했는데,2021-01-07 21:12,1,0
22,1인용 기분,7,(jyto****),HANN,이걸 왜말해,2021-01-07 21:12,1,0
23,1인용 기분,7,(jyto****),HANN,이걸 붙여놔..?,2021-01-07 21:12,1,0
24,1인용 기분,7,(dell****),예지몽,2021년에도 보고있다!,2021-01-07 21:12,1,0
25,1인용 기분,7,(12dn****),GOLD,첫배댓 첫구절 읽고 순간 악플인줄 알았다 ㅋㅋㅋㅋㅋㅋㅋ,2021-01-07 21:12,1,0
26,1인용 기분,7,(12dn****),GOLD,흑마늘님 남으면 다시 가져가면 되지만부족하면 교무실 가서 다시 가져와야 하잖아요,2021-01-07 21:12,1,0
27,1인용 기분,7,(dbst****),윤희,결혼안해도 50%는 저축해요..,2021-01-07 21:12,1,0
28,1인용 기분,7,(dlwo****),제리스키,중딩때까지만해도 격주 토요일마다 학교갔는데 ㅋㅋㅋ,2021-01-07 21:12,1,0
29,1인용 기분,7,(chjo****),최온조,사실 로또는 액수만 같다면 차라리 주식하는게 더 나을 정도로 터무늬 없이 효율이 나쁜데.. 알면서도 사게 되더라.,2021-01-07 21:12,1,0
30,1인용 기분,7,(capa****),,2020년에도 보고있다!!!!,2020-12-31 23:07,1,0
31,1인용 기분,7,(ecos****),나니,가시나 조사버릴라,2020-12-31 23:07,1,0
32,1인용 기분,7,(tldh****),강시온,차피 현실에선 서로 사이 좋으니까 아랫분 성별싸움 만드실 필요없어영,2020-12-31 23:07,1,0
33,1인용 기분,7,(min0****),도도,지금은 물론 아니지만 이런 생각 해봤다는게 또 슬프네,2020-12-31 23:07,1,0
34,1인용 기분,7,(wjdt****),서롸찡,결혼이 뭔가요 제벌 3세들만 하는건가요,2020-12-31 23:07,1,0
35,1인용 기분,7,(qls8****),quet,스텔라장-월급은 통장을 스칠 뿐 이란 곡이 생각나네요,2020-12-31 23:07,1,0
36,1인용 기분,7,(yaes****),망고,아니 뭔데 꼬치꼬치 캐물어! 네가 애한테 뭐 돈 대준거있냐?? 실질적인 도움 준적있어? 그렇더라도 저건 아니지!!!,2020-12-31 23:07,1,0
37,1인용 기분,7,(yaes****),망고,도랏??,2020-12-31 23:07,1,0
38,1인용 기분,7,(that****),라임,3등은 되봤는데 100만원도 안나왔어요ㅠ 구십얼마 수령함,2020-12-31 23:07,1,0
