,title,no,ID,nick,content,date,like,dislike
0,그린스마일,5,(k971****),핑크,음..왜 다음이 없ㅈ..?,2021-01-04 00:21,1,0
1,그린스마일,5,(scar****),최다,이거 어릴때 재미잇게 봤는데,2021-01-04 00:21,1,0
2,그린스마일,5,(tl56****),,드디어 찾은 웹툰인데...,2021-01-04 00:21,1,0
3,그린스마일,5,(ekfr****),용카,추천 완결에 나왔으면 좋겠다,2021-01-04 00:21,1,0
4,그린스마일,5,(koss****),권혁주,저와 동명이인이 그리신 만화 씬커는 많은어려움이있었디만 이것을볼때는 정말 많은걸 느끼며 봤었지요,2021-01-04 00:21,1,0
5,그린스마일,5,(gr32****),캐스패스,오랫만이다 움비,2021-01-04 00:21,1,0
6,그린스마일,5,(lsm9****),이승민,ㅋㅋㅋㅋ 이웹툰은 찾는 사람 한명도 없네,2021-01-04 00:21,1,0
7,그린스마일,5,(lee6****),오아이,47이 뭔뜻이에요,2021-01-04 00:21,1,0
8,그린스마일,5,(ll29****),이재용,47,2021-01-04 00:21,1,0
9,그린스마일,5,(sahr****),찹쌀개,맞아 이 웹툰도 정말 감명깊게 봤는데,2021-01-04 00:21,1,0
10,그린스마일,5,(php0****),,하푸하푸같다,2021-01-04 00:21,1,0
11,그린스마일,5,(mjmj****),Jr지로,간핀 쿵쿵따,2021-01-04 00:21,1,0
12,그린스마일,5,(nbjs****),The센the난,전멸시키는게 지구에 이롭다,2021-01-04 00:21,1,0
13,그린스마일,5,(nbjs****),The센the난,주범은 인간이지,2021-01-04 00:21,1,0
14,그린스마일,5,(kon1****),돌펭2,얼마안하는구만,2021-01-04 00:21,1,0
15,그린스마일,5,(yena****),동동,귀염뽀짝해서 재밌게 잘 봤었는데ㅎㅎ,2018-09-26 21:35,1,0
16,그린스마일,5,(ooow****),메롱,"유료화된걸로 안타까워 하지말고, 니 생각을 바꿀 만한 책이라고 생각하면 그냥 사서 읽어라. 이런데 돈 아끼지 말고 헛돈 낭비하는데에나 돈 아껴 써",2018-09-26 21:35,1,0
17,그린스마일,5,(chlq****),라면,"보고 진짜 펑펑 울었었는데,,,,",2018-09-26 21:35,1,0
18,그린스마일,5,(yogi****),,하 네이버 개새,2018-09-26 21:35,1,0
19,그린스마일,5,(easy****),이이지,처음으로 접했던 웹툰이 이 웹툰이었는데 유료화되어버렸네요.. 아쉽기는 하지만 어쩔수없죠. 나중에 단행본으로 사서 보던가 아니면 돈 내고 봐야겠네요. 돈주고 볼만한 가치가 충분합니다.,2018-09-26 21:35,1,0
20,그린스마일,5,(anan****),지원공주,ㅠㅠㅠ이거 끝에 움비가 글썽이는거 보고 진짜 펑펑 울었었는데...,2018-09-26 21:35,1,0
21,그린스마일,5,(yeru****),예루띠,우리가 전기를 많이 쓰면 지구온난화가 계속 됀단 말에요베뎃좀,2018-09-26 21:35,1,0
22,그린스마일,5,(qjaw****),다칸,그립다 보고싶다,2018-09-26 21:35,1,0
23,그린스마일,5,(dong****),한동윤,5화가 끝?!?!?말도안도ㅑ..........,2018-09-26 21:35,1,0
24,그린스마일,5,(w1kd****),드래건,이거 유로화하면 좋은 정보를 정보료 주고보는샘이네요...,2018-09-26 21:35,1,0
25,그린스마일,5,(jw08****),돌이라고,끝까지보고싶은데 💧,2018-09-26 21:35,1,0
26,그린스마일,5,(oojy****),,이것도 재연재하면 좋겠다,2018-09-26 21:35,1,0
27,그린스마일,5,(sssw****),오렌지,이거마지막에 남극가서 둘이 잘사는 내용ㅋ,2018-09-26 21:35,1,0
28,그린스마일,5,(rjwo****),이희희,하푸하푸는 뭔소리...대체...움비처럼이 훨씬전에 나왔구만,2018-09-26 21:35,1,0
29,그린스마일,5,(psh9****),상큼030,네네 몇년전에 답보고 정주행하로 왔더니 유.료.화..?!?!?!!! 빡핀사람 좋아요 눌러눌러 ㅋㅋ,2018-09-26 21:35,1,0
30,그린스마일,5,(tae4****),,하푸하푸 인가.......,2016-08-05 17:52,1,16
31,그린스마일,5,(msy4****),에베베벱,유료화.....,2016-08-05 17:52,1,16
32,그린스마일,5,(whdm****),jo_은하,이씨 유료,2016-08-05 17:52,1,16
33,그린스마일,5,(hanb****),치킨,..발길이 끊겼네..,2016-08-05 17:52,1,16
34,그린스마일,5,(wogu****),같,엔딩 못보고 중간에 끊었는데 유료화됬다니..,2016-08-05 17:52,1,16
35,그린스마일,5,(fish****),야옹이,계속이라고 해놓고 아직도 안 나오는 웹툰....보고싶다,2016-08-05 17:52,1,16
36,그린스마일,5,(rory****),퓨르츠,이거 엔딩 개 슬픈데...ㅠ,2016-08-05 17:52,1,16
