,title,no,ID,nick,content,date,like,dislike
0,길에서 만나다,16,(syi0****),서예인,재미있어요ㅎㅎ,2021-02-01 04:12,0,0
1,길에서 만나다,16,(asd1****),퀵드론,이것보다 낮으면 밑에 있는 만화는 얼마나 재미가 없는거냐,2021-02-01 04:12,0,0
2,길에서 만나다,16,(cata****),달밤의띵언,힣,2021-02-01 04:12,0,0
3,길에서 만나다,16,(pgw8****),킁킁이,네이버 인정 공식 막댓입니다~ 이후 막댓 주장하시면 고소 조치하겠습니다 ^^,2021-02-01 04:12,0,0
4,길에서 만나다,16,(choi****),깡총훨훨,이 만화 왜케 낮냐?재미없으니까.ㅇㅇ,2021-02-01 04:12,0,0
5,길에서 만나다,16,(dnjs****),980710,ㅋㅋ,2021-02-01 04:12,0,0
6,길에서 만나다,16,(jeon****),사람,와아,2021-02-01 04:12,0,0
7,길에서 만나다,16,(wsxo****),약,막댓드립 오진다 십샊들,2021-02-01 04:12,0,0
8,길에서 만나다,16,(wsxo****),약,와,2021-02-01 04:12,0,0
9,길에서 만나다,16,(danh****),난나야,진소에 감동하고 와보내요그독료 내고 정주행 들어갑니다.,2021-02-01 04:12,0,0
10,길에서 만나다,16,(danh****),난나야,?,2021-02-01 04:12,0,0
11,길에서 만나다,16,(asd1****),퀵드론,축하한다 이제 너는 꼴등이 아니다 하지만 만화는 개씹노잼임,2021-02-01 04:12,0,0
12,길에서 만나다,16,(hl10****),잇힝,진눈깨비 소년 너무 좋아서 작가님 다른 웹툰 찾아왔어요~모두가 수채화 같은 웹툰이네요^^,2021-02-01 04:12,0,0
13,길에서 만나다,16,(viol****),아나벨,앗 이 다음부터 유료군요ㅡ 쿠키를 구울 시간~!,2021-02-01 04:12,0,0
14,길에서 만나다,16,(viol****),아나벨,작가의 말이 왠지 항상 재밌어요. 물론 진지할 때도 있고.,2021-02-01 04:12,0,0
15,길에서 만나다,16,(opsk****),Opsky57388307,맨아래 댓글 보니까 1 딱하나고그담이 와 좋다 그 다음이 3빠그리고 잴먼저 달린댓글이 2011년 7월 29일12시 4분에 달림,2018-10-13 12:43,0,0
16,길에서 만나다,16,(iden****),익명성,진눈깨비 소년 진짜 좋아하는 웹툰이었는데완결되고나니 작가님 다른 웹툰도 궁금해지더라구요ㅎㅎ그래서 와 봤습니다!,2018-10-13 12:43,0,0
17,길에서 만나다,16,(dust****),안연서,막댓,2018-10-13 12:43,0,0
18,길에서 만나다,16,(vov9****),왕쯔,막댓,2018-10-13 12:43,0,0
19,길에서 만나다,16,(rtra****),이라연,맨 아래 뭐가 있는지 궁금해서 들어온 사람 손들어,2018-10-13 12:43,0,0
20,길에서 만나다,16,(siro****),siro,ㅇㅋ,2018-10-13 12:43,0,0
21,길에서 만나다,16,(daha****),다하갓,ㅇ나야,2018-10-13 12:43,0,0
22,길에서 만나다,16,(zodr****),,섹시,2018-10-13 12:43,0,0
23,길에서 만나다,16,(minq****),민준,내가 맛댓이다,2018-10-13 12:43,0,0
24,길에서 만나다,16,(mins****),월이,막댓,2018-10-13 12:43,0,0
25,길에서 만나다,16,(vov9****),왕쯔,막댓,2018-10-13 12:43,0,0
26,길에서 만나다,16,(2011****),이동화,ㅇㅇㄴㅇ,2018-10-13 12:43,0,0
27,길에서 만나다,16,(han9****),naver,응 막댓,2018-10-13 12:43,0,0
28,길에서 만나다,16,(vov9****),왕쯔,막댓ㅎ,2018-10-13 12:43,0,0
29,길에서 만나다,16,(ptsi****),하얀달,막댓,2018-10-13 12:43,0,0
30,길에서 만나다,16,(vov9****),왕쯔,막댓,2018-07-22 21:28,0,2
31,길에서 만나다,16,(chan****),D DoS 452,꼴ㅡ등 ㅋ,2018-07-22 21:28,0,2
32,길에서 만나다,16,(jung****),YeY,꼴---등,2018-07-22 21:28,0,2
33,길에서 만나다,16,(gun-****),김윤건,님들별점1점주다보면 내려가는게 보임 ㅋㅋ,2018-07-22 21:28,0,2
34,길에서 만나다,16,(opsk****),Opsky57388307,근데 왜 반말이세요?,2018-07-22 21:28,0,2
35,길에서 만나다,16,(sbmr****),이수빈,"야 opsky5788307,말이 좀 그렇다?",2018-07-22 21:28,0,2
36,길에서 만나다,16,(msk0****),10,꼴찌네 얼마나 인기없으면,2018-07-22 21:28,0,2
37,길에서 만나다,16,(qkrg****),한별,내 아래 댓글 평생모솔,2018-07-22 21:28,0,2
38,길에서 만나다,16,(kmjp****),Weeeeeesds,내 뒤로부터 댓글다는애들 평생 모솔아다,2018-07-22 21:28,0,2
39,길에서 만나다,16,(pgal****),lina,작가님 팬입니다,2018-07-22 21:28,0,2
40,길에서 만나다,16,(heys****),야식,막댓드립 치지마요 님들은 이분보다 인기없으니까,2018-07-22 21:28,0,2
41,길에서 만나다,16,(heys****),야식,웹툰 좋다..,2018-07-22 21:28,0,2
42,길에서 만나다,16,(matt****),초사이어인,막댓,2018-07-22 21:28,0,2
43,길에서 만나다,16,(dldh****),이완준,막댓 개꿀~,2018-07-22 21:28,0,2
44,길에서 만나다,16,(qazw****),수민,ㅋ,2018-07-22 21:28,0,2
45,길에서 만나다,16,(mdh2****),익명,네이버 조회수 꼴등 ㅋ,2018-02-25 15:53,1,5
46,길에서 만나다,16,(tldh****),퀵쏘,고소드립 뭔 뜻임?,2018-02-25 15:53,1,5
47,길에서 만나다,16,(asd1****),퀵드론,작가 본인도 더이상 자기 작품이 쪽팔리고 보여주기 싫으니까 유료 건겁니다.,2018-02-25 15:53,1,5
48,길에서 만나다,16,(park****),아저쓰,와 여기 댓 수준들이;; 유료화 하든 안하든 작가맘이고님들이 재미있어하고 안하고는 상관없거든요 왜 님들이이해 못하고 재미없다그럼? 여기 댓글 다 무개념임?,2018-02-25 15:53,1,5
49,길에서 만나다,16,(gns3****),ㄹ,막댓입니다.,2018-02-25 15:53,1,5
50,길에서 만나다,16,(rhwp****),고제경,막댓이다 고소드립 ㄲㄲ,2018-02-25 15:53,1,5
51,길에서 만나다,16,(pgw8****),킁킁이,진짜 네이버 공식 막댓이네요~ 이후 막댓 주장하시면 바로 고소합니다^^,2018-02-25 15:53,1,5
52,길에서 만나다,16,(dhkd****),김준서,ㅠㅠ...더 보고 싶은데 유료라서 슬프네요,2018-02-25 15:53,1,5
53,길에서 만나다,16,(hang****),영규,엉~내가 막댓이야~,2018-02-25 15:53,1,5
54,길에서 만나다,16,(jjyu****),윤정준,막댓 ㅅㄱ,2018-02-25 15:53,1,5
55,길에서 만나다,16,(w020****),,막댓,2018-02-25 15:53,1,5
56,길에서 만나다,16,(wjdw****),정준수,막댓이다 내가,2018-02-25 15:53,1,5
57,길에서 만나다,16,(dbsw****),윤재상,이런거도 유료화하냐,2018-02-25 15:53,1,5
58,길에서 만나다,16,(shor****),크리스,조회수꼴지ㅊㅊ,2018-02-25 15:53,1,5
59,길에서 만나다,16,(oliv****),Hyun,나도 단행본 사서 봐야겠다,2018-02-25 15:53,1,5
60,길에서 만나다,16,(han7****),,กิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิก้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้กิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิิก้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้ค็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็็,2017-08-27 00:10,1,2
61,길에서 만나다,16,(ljsy****),이진숙,이걸 유료화하네 노잼인데,2017-08-27 00:10,1,2
62,길에서 만나다,16,(kmse****),레오,ㅁㄷ,2017-08-27 00:10,1,2
63,길에서 만나다,16,(deep****),감솨,이만화 자체로 힐링되는 느낌이여서 끝까지 읽고픈마음에 단행본을사서 읽어봤어요 쥬드프라이데이작가님 필력이 어마무시하시더군요 마치 은희수 같달까. 멋있어요 쥬드프라이작가님 존경합니다,2017-08-27 00:10,1,2
64,길에서 만나다,16,(heeh****),,ㅇㄴㅁ,2017-08-27 00:10,1,2
65,길에서 만나다,16,(vong****),오상언,막플 앙 ㄱㅁㅉ,2017-08-27 00:10,1,2
66,길에서 만나다,16,(mjki****),김민지,아닙니다ㅋ,2017-08-27 00:10,1,2
67,길에서 만나다,16,(vjaz****),펌킨숩,막플 ㅅㄱ,2017-08-27 00:10,1,2
68,길에서 만나다,16,(yeso****),말랑,조회순 마지막 작품이네ㅎ,2017-08-27 00:10,1,2
69,길에서 만나다,16,(wjdw****),jjs,꼴찌 궁금해서 온사람을 왜찾지? 작가 기분 1도 생각안하는 베댓가고싶어하는 배려없는 인간들 ㄹㅇ,2017-08-27 00:10,1,2
70,길에서 만나다,16,(gksa****),nari,뭐랄까 산책 뽐뿌오는 만화랄까?,2017-08-27 00:10,1,2
71,길에서 만나다,16,(sund****),윤미진,임총하고 비교를 왜 해,2017-08-27 00:10,1,2
72,길에서 만나다,16,(sund****),윤미진,그리고 샹 외지주같은 일진미화보다 이런게 훨씬 낫다 허구헌날 방구석에서 자기위로나 하는놈들이,2017-08-27 00:10,1,2
73,길에서 만나다,16,(dnsl****),Good,ㅁㄷ ㅅㅅㅅ,2017-08-27 00:10,1,2
74,길에서 만나다,16,(este****),김현정,개노잼,2017-08-27 00:10,1,2
75,길에서 만나다,16,(joys****),꿈샘,내년에 올게 배댓만들어 보거라,2017-05-02 02:09,14,8
76,길에서 만나다,16,(doub****),doubleJ,이 작품만은 스토어가 안됐으면 했는데..!ㅜㅜ 출판 하셨겠죠? 사서 보겠습니다,2017-05-02 02:09,14,8
77,길에서 만나다,16,(ming****),강민기 강늑대,2017년 4월 14일 이후 들어온분 좋아요 눌읍시다,2017-05-02 02:09,14,8
78,길에서 만나다,16,(seoh****),이서훈,솔직히 내가 꼴지 웹툰이라 와본것은 맞지만 임총이랑 비교하기엔 너무한거 아니냐??,2017-05-02 02:09,14,8
79,길에서 만나다,16,(hong****),홍주안,ㅁㄷ ㄱㅁㅉ,2017-05-02 02:09,14,8
80,길에서 만나다,16,(mcke****),박부성,왜 다음화가 갑자기없음??스토어인데 안뜨는거임??,2017-05-02 02:09,14,8
81,길에서 만나다,16,(shru****),병훈,무슨 교과서에서 나오는 만화급이노,2017-05-02 02:09,14,8
82,길에서 만나다,16,(dong****),동가리,빅뱅is VIP,2017-05-02 02:09,14,8
83,길에서 만나다,16,(enrh****),까뉴,완결웹툰중 꼴지궁금해서 온사람 눌러라,2017-05-02 02:09,14,8
84,길에서 만나다,16,(tmdg****),DAVE SHIN,이유없는 비난들 그만하세요. 제가 돈내고 보겠습니다. 보는사람 있습니다.,2017-05-02 02:09,14,8
85,길에서 만나다,16,(bigj****),Koala,음..,2017-05-02 02:09,14,8
86,길에서 만나다,16,(tjdu****),기가차니,ㅁㄷ,2017-05-02 02:09,14,8
87,길에서 만나다,16,(kkm0****),필서랑,ㅁㄷ,2017-05-02 02:09,14,8
88,길에서 만나다,16,(minj****),정승민,뀨,2017-05-02 02:09,14,8
89,길에서 만나다,16,(han7****),,이거 완전 임총급 만화 아니노?,2017-05-02 02:09,14,8
90,길에서 만나다,16,(sam2****),예은이는 세빈이꺼,ㅁㄷ,2017-01-24 14:31,1,2
91,길에서 만나다,16,(sber****),콩나물,ㅋㅋ 뜬금포 고백이군요. 남자분인지 이제 알아요. 저는 역주행하고 있으니까요~,2017-01-24 14:31,1,2
92,길에서 만나다,16,(chyu****),ㅎㅅㅎ,막댯막댓막댓,2017-01-24 14:31,1,2
93,길에서 만나다,16,(xlov****),ㅎㅎ,막댓~~♡♡♡,2017-01-24 14:31,1,2
94,길에서 만나다,16,(mous****),우와와앙,좋까,2017-01-24 14:31,1,2
95,길에서 만나다,16,(yjlw****),,ㅁㄷ,2017-01-24 14:31,1,2
96,길에서 만나다,16,(8onl****),,내가 돈주고 본다 십박 그러니 장난이든 진심이든 목적없는 비난은 그만둬,2017-01-24 14:31,1,2
97,길에서 만나다,16,(tkdg****),박상호,날 잡고 정독하려했는데스토어라니ㅠ,2017-01-24 14:31,1,2
98,길에서 만나다,16,(mjki****),김민지,ㅁㄷ,2017-01-24 14:31,1,2
99,길에서 만나다,16,(dnsl****),Good,ㅁㄷ,2017-01-24 14:31,1,2
