,title,no,ID,nick,content,date,like,dislike
0,나의 첫번째 새벽,41,(7942****),쿠이,헐 아빠가 선인이길 포기한 인간이었던거 아냐????,5일 전,1,0
1,나의 첫번째 새벽,41,(heei****),hee,너무 최고야...... 단행본....원해요,5일 전,1,0
2,나의 첫번째 새벽,41,(tlar****),tla,하ㅜㅜㅠㅠ작가님 기다릴게요❤,5일 전,1,0
3,나의 첫번째 새벽,41,(8775****),babywhothex,작가님 너무 인간미 넘쳐서 정겨워요… 질문 답 이렇게 하나하나 다해주시는 분 처음 봤어요ㅋㅋㅋㅋㅋㅋ 건강 잘 챙기시고 차기작도 기대할게요♥ 그동안 작품 잘 봤어요 고생하셨습니다! ( ◜︎◡︎◝︎ )..,5일 전,1,0
4,나의 첫번째 새벽,41,(seoy****),꼬마 융,정주행햇는데 진짜 짱이다. 늦었지만 수고하셨어요!,5일 전,1,0
5,나의 첫번째 새벽,41,(daej****),유진,정주행 했어요! 감동적이고 좋은 만화 감사드려요♡,5일 전,1,0
6,나의 첫번째 새벽,41,(lees****),이성복,유료화 전에 정주행 다시해야징,5일 전,1,0
7,나의 첫번째 새벽,41,(seon****),tjsvynn,단행본 낼 실력이 아니시라뇨ㅠㅠㅠㅠ소장하고싶어서 우는중인데ㅠㅠㅠ,5일 전,1,0
8,나의 첫번째 새벽,41,(eksg****),꽃무,작가님 덕분에 너무 행복하게 잘 봤어요♡ 건강하시고 꼭 다시 돌아와주세용♡,5일 전,1,0
9,나의 첫번째 새벽,41,(jihy****),나,진ㅋ자 이거보고 웹툰 보는 속도 느려서 2시간동안 ㄹㅇ 찔찔 짜면서 봐서 완전 눈이팠어여ㅠㅠㅠㅠㅠ 진짜 개 잼💖💖,5일 전,1,0
10,나의 첫번째 새벽,41,(pjhe****),pjh,MBTI 아니에여?ㅋㅋ구ㅏㅇ여우셔,5일 전,1,0
11,나의 첫번째 새벽,41,(jene****),는서,나도 인프핀데 ㅜㅜ,5일 전,1,0
12,나의 첫번째 새벽,41,(kgrw****),,그림 너무 예뻐요!! 새벽이랑 이슬이 결혼 ㅠㅠㅠㅠㅠㅠㅠ작가님 정말 재밌게 봤어요 완결 축하드려요 !!!차기작 기다리고 있을게요☺,5일 전,1,0
13,나의 첫번째 새벽,41,(ekft****),한나,후기마저 이렇게 재밌으면어째요ㅠㅠㅠ새벽에 문득봤는데 너무깊게빠져서 울고 설레고 감사합니다 이런 좋은 웹툰 볼수있게해주셔서!!!!!댓글 안다는데 너무좋아서 달아봐요 앞으로도 좋은 작품 많이 연재해주세요 작가님♡♡♡,5일 전,1,0
14,나의 첫번째 새벽,41,(verm****),sherry,다시 한 번 왔습니다...정주행 해요(♥￫▽￩♥),5일 전,1,0
15,나의 첫번째 새벽,41,(ch70****),마녀,"이 웹툰 올해 중학생인 내 친구 사촌 언닌가 오빤가 한다고 하던데,,",2021-03-21 01:19,1,0
16,나의 첫번째 새벽,41,(tpvl****),siliy,작가님 너무 좋은 웹툰이였어요. 선인이라는 점도 독특하고 애들이 하늘을 날때마다 엄청 탁트이는 느낌이 들면서 이뻤어요새벽이가 이슬이에게 발목잡히는 장면이 가장 기억에 남아요감사했습니다 마음이 몽글몽글해지는 작품이였어요,2021-03-21 01:19,1,0
17,나의 첫번째 새벽,41,(11lo****),구름으로,수고하셨어요.^^,2021-03-21 01:19,1,0
18,나의 첫번째 새벽,41,(roof****),아쿠아,수고하셨어요~,2021-03-21 01:19,1,0
19,나의 첫번째 새벽,41,(esth****),리본,잘 봤습니다ㅠㅠ,2021-03-21 01:19,1,0
20,나의 첫번째 새벽,41,(gara****),박강강술래,이웹툰을 왜 이제야 봤을까ㅠㅠㅠ,2021-03-21 01:19,1,0
