,title,no,ID,nick,content,date,like,dislike
0,드로잉 레시피,39,(mari****),다온,와 핸드폰인데도 마지막 그림의 질감이 느껴지는듯한.. 너무 예뻐요,12시간 전,0,0
1,드로잉 레시피,39,(kiri****),oo,와 작업 영감까지 따라하네 ... 으휴 ㅠㅠㅠㅠㅠㅠㅠ,12시간 전,0,0
2,드로잉 레시피,39,(penh****),돌쇠맘,범죄가 꼭 밝혀지길요..표절 뭐 이해하구 넘어가믄 안돼용!!!!,12시간 전,0,0
3,드로잉 레시피,39,(kjju****),깡쮸,진짜........... 언제 가니 미주 너 진짜 너무 머리 끝까지 화가 차올라 어우,12시간 전,0,0
4,드로잉 레시피,39,(seoy****),BABAMBA,"은수야, 뻔뻔한 네 모습 너무 역겨워",12시간 전,0,0
5,드로잉 레시피,39,(sige****),카이도,저 인물화 그림 다 합치면 같은 장소에 있었던 순간 사진찍은거처럼 나올거 같다누가 더 있었으려나?수빈이 아빠랑 은수 엄마... 뭔가...있을거 같은데..수빈이 엄마가 석촌 싫어하시는 이유랑고 연관 있을거 같고...음. 착한생각 해야지...켁,12시간 전,0,0
6,드로잉 레시피,39,(whar****),화령,애초에 내 그림이 아니니까 뭘 그려야 할지 모르겠어서 은수 그림만 계속 따라 그렸겠지....,12시간 전,0,0
7,드로잉 레시피,39,(kimb****),수하봄,은수 작업실 훔치러 온거지 뭐,12시간 전,0,0
8,드로잉 레시피,39,(kell****),끽삑,미주 제발 꺼져..,12시간 전,0,0
9,드로잉 레시피,39,(soze****),Seals,"내가 능력이 안되면 남의 능력을 취해선 안된다.내가 감당할수가 없기에.내것이 아닌것을 받아서 거짓말로 기반을 다지고.그위에 거짓을 쌓고 쌓고..언제까지 쌓을수 있을까? 무너지는건 시간 문제.애초에 담을 수 없는 걸 담은 것이라.미주도 딴에는 따라잡을 수 없는 괴로움이 있었다는 식으로 표현되어있지만.결국 도둑질한 ㄴ의 죄책감일 뿐.미주야. 침대에서 자지 말고, 나와서 길바닥에서 자.너에게 딱 어울리는 곳이다.",12시간 전,0,0
10,드로잉 레시피,39,(no1n****),00,그리고 오늘 초반부분 연출 너무 좋아요친구나 연인 때로는 가족들중 아무리 옆에서설명을 해줘도 바락바락 우기고 언제 그랬냐며그러면서 왜 이제야 말하냐고.. 멋대로 생각하고받아 들여 놓고 오히려 상대한테 따지듯 말하는사람들 너무 싫어요,12시간 전,0,0
11,드로잉 레시피,39,(no1n****),00,이미주 너가 은수한테 잘못했고 미안한 감정 1이라도 들었으면 스스로 해명하고 은수 작품으로 인해 이룬것들 다 내려놓고 석촌으로 와서 은수에게 진심으로 잘못을 빌었어야했어 지금도 장수생 회피하는 태도봐.. 미주 너는 은수가 회피한다고 하지만 회피는 너가 하고 있는 거 같은데,12시간 전,0,0
12,드로잉 레시피,39,(tjwl****),스케치,작가님 초반에는 힐링물이라 재밌게 잘봤는데요즘 그림 카피 서사를 너무 길게잡으시는 것 같아요자극적이라 반응이 더 있어서 길게잡으시는건가요..?이젠 보는게 힐링이 아니라 스트레스에요 사이다가 없어서..,12시간 전,0,0
