,title,no,ID,nick,content,date,like,dislike
0,마음의 숙제,13,(ddam****),눈깜박이,벌써 3번째 우는 중이에요...ㅠㅡㅜ 마지막 말이,2021-04-10 08:04,0,0
1,마음의 숙제,13,(vero****),베로니카,아...좋은 사람들...,2021-04-10 08:04,0,0
2,마음의 숙제,13,(mikr****),너는 나의 지구,아 진짜 분위기...너무 좋아,2021-04-10 08:04,0,0
3,마음의 숙제,13,(pooh****),구오팔,나랑 오랫동안 친구하자 앞으로도 잘 부탁해,2021-04-10 08:04,0,0
4,마음의 숙제,13,(pooh****),구오팔,서아야 생일축하해 ^^❤️,2021-04-10 08:04,0,0
5,마음의 숙제,13,(babo****),하울의무빙이지리는성,화장실에 앉아있는데 섹시하고 귀여워보이는 사람은 윤봉원 당신이 처음이야...❤,2021-04-10 08:04,0,0
6,마음의 숙제,13,(bini****),bin,저렇게 크게 할주는 몰랐겠지 나도.. 저렇게 스케일이 클줄이야,2021-04-10 08:04,0,0
7,마음의 숙제,13,(thdb****),소윤,왜 연재가 안되나요?,2021-04-10 08:04,0,0
8,마음의 숙제,13,(psij****),솜사탕,봉원씨... 한회 한회 찐이네ㅠㅠ 봉원씨가 왜 내 원픽인지 다섯번째 보면서 또 끄덕끄덕 하고 갑니다... 한국가면 책 살거야ㅠㅠ,2021-04-10 08:04,0,0
9,마음의 숙제,13,(yg08****),해바라기,윽 봉원이 겁나 설레네....,2021-04-10 08:04,0,0
10,마음의 숙제,13,(soi3****),쏘요미,기다무 해주세요 ㅠㅠㅠㅠㅠ,2021-04-10 08:04,0,0
11,마음의 숙제,13,(leey****),이윤이,봉원이가 주인공 맞네 호선이는 정신적으로 여주에 비해 너무 어릴때 굳어졌고 서로 지금 잘 될 계기도 안보임,2021-04-10 08:04,0,0
12,마음의 숙제,13,(fhwm****),코델리아,봉원아ㅠㅜ,2021-04-10 08:04,0,0
13,마음의 숙제,13,(wa85****),,이경씨가 잘못 했네,2021-04-10 08:04,0,0
14,마음의 숙제,13,(xlov****),일하는다람이,헐...ㅜ 이게 뭐져... 아무생각없이보다가ㅜ 봉원씨ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2021-04-10 08:04,0,0
15,마음의 숙제,13,(nkjm****),우루꽉끼,이경아 얼른 들어가지 ㅠㅠㅠ,2020-09-08 17:21,0,0
16,마음의 숙제,13,(qoth****),삐삐랄라,봉원 데에에에엠,2020-09-08 17:21,0,0
17,마음의 숙제,13,(noeo****),dmkkkkk,기다리는 게 얼마나 힘든지 아니까 더 미안했겠다 내가 더 짠해지네,2020-09-08 17:21,0,0
18,마음의 숙제,13,(seoi****),seoin,아 어떡해..사과할때 눈물났어..,2020-09-08 17:21,0,0
19,마음의 숙제,13,(slam****),하루,이 때부터 남주가 봉원이거 조금씩 알게됨 ㅠ,2020-09-08 17:21,0,0
20,마음의 숙제,13,(sjc0****),,"나고 이런거 참 싫어하는데.. 저정도 스케일에, 진심으로 나를 저렇게 좋아해주는 마음을 받으면 허탈하게 웃으면서 이사람들 참 ㅎㅎ.. 하면서 기분 좋아 질 것 같아. 나도 진심으로 맘을 열 것 같고",2020-09-08 17:21,0,0
21,마음의 숙제,13,(q849****),q849,아 봉원이는 사람일줄 알앗는데,2020-09-08 17:21,0,0
22,마음의 숙제,13,(mayb****),내숭쟁이,눈물이 나네요마음 여린 이경이도...이경이 마음을 알아주는 봉원이도...,2020-09-08 17:21,0,0
23,마음의 숙제,13,(aris****),ari,흥힝홍 이넘의 서브병 호선쓰...,2020-09-08 17:21,0,0
24,마음의 숙제,13,(ddad****),따뚜,재밌어........,2020-09-08 17:21,0,0
25,마음의 숙제,13,(xhqk****),지애,다정해..,2020-09-08 17:21,0,0
26,마음의 숙제,13,(heej****),정이,봉원....당신이 햇살이잖아...,2020-09-08 17:21,0,0
27,마음의 숙제,13,(kgwb****),루이닐,밤이어라~,2020-09-08 17:21,0,0
28,마음의 숙제,13,(jung****),lune,기다리는게 얼마나 힘든 일인데..이 말이 어쩐지 공감간다,2020-09-08 17:21,0,0
29,마음의 숙제,13,(izin****),진,눈물이계속나요,2020-09-08 17:21,0,0
30,마음의 숙제,13,(2006****),고래,와ㅠㅜ대박..봉원이 스윗한 댕댕이 같애,2020-06-18 23:13,0,0
31,마음의 숙제,13,(dcrm****),Woxlmsk,나라면 부담보다는 찡할듯 ㅠㅠㅠ 날 위해서 저렇게 현수막까지걸어주면 기분 진짜 좋을거같아,2020-06-18 23:13,0,0
32,마음의 숙제,13,(kkiw****),키위,봉원 주식 삽니다,2020-06-18 23:13,0,0
33,마음의 숙제,13,(shtn****),노숴,"정말 살다보면 이런일도 저런일도, 약속을 지키지 못할 일도 많지만중요한건 어떻게 이해해주는가",2020-06-18 23:13,0,0
34,마음의 숙제,13,(qlql****),비비씨,봉원씨 어흐흐ㅡㅎㄱ,2020-06-18 23:13,0,0
35,마음의 숙제,13,(hqvb****),구역,하...저 오늘부로 봉원이 주식 투자합니다,2020-06-18 23:13,0,0
36,마음의 숙제,13,(leey****),모구모구,봉원씨 너무좋아ㅠㅠ,2020-06-18 23:13,0,0
37,마음의 숙제,13,(qeen****),파라밤,흐아 ㅠㅠ 넘넘 슬퍼,2020-06-18 23:13,0,0
38,마음의 숙제,13,(tlse****),songn,봉원이가더좋아~~~,2020-06-18 23:13,0,0
39,마음의 숙제,13,(yusi****),화려한다음,좋아,2020-06-18 23:13,0,0
40,마음의 숙제,13,(hae0****),,유아마이 따봉원~!,2020-06-18 23:13,0,0
41,마음의 숙제,13,(anna****),정연,난 울래,2020-06-18 23:13,0,0
42,마음의 숙제,13,(bbhi****),BBH,아 갑자기 진짜 울컥헸어요ㅠㅠㅠ 요즘시대에 저런사람이 어디있어..,2020-06-18 23:13,0,0
43,마음의 숙제,13,(papa****),,워매 난 오늘부로 봉원파 결심했다,2020-06-18 23:13,0,0
44,마음의 숙제,13,(song****),hehe,약속은 꼭 지키는 이경이가 봉원이한테 fall in love 하는 순간일까요,2020-06-18 23:13,0,0
45,마음의 숙제,13,(1203****),ing,너무해..어떻게 안갈수 있어,2020-04-04 04:08,1,0
46,마음의 숙제,13,(kgh2****),GH,"근데 다들 일을 다니는거야? 여태 스토리만 보면 베짱이마냥 밤새 놀고먹는 애들인 것 같은데,, 준표나 봉원이는 그렇다치고 나머지는,,,?",2020-04-04 04:08,1,0
47,마음의 숙제,13,(yuli****),우리,아 봉원씨 사랑혀,2020-04-04 04:08,1,0
48,마음의 숙제,13,(tnwl****),이수진,워후~!,2020-04-04 04:08,1,0
49,마음의 숙제,13,(dodo****),도연,크흛 봉원 당신 정말 날 미치게해,2020-04-04 04:08,1,0
50,마음의 숙제,13,(jeon****),전봄이,봉원..,2020-04-04 04:08,1,0
51,마음의 숙제,13,(miya****),우냥냥,헐... 개차케,2020-04-04 04:08,1,0
52,마음의 숙제,13,(mymo****),별빛,헐...봉원씨 옛날사람이라서 안 그럴줄 알았는데 왜 이렇게 설레고 난리야 ㅠㅠ 흡혈들귀지만 인간보다도 더 따뜻하고 순수해보여서 저 동네에 한번 가보고 싶다..,2020-04-04 04:08,1,0
53,마음의 숙제,13,(wjy1****),돌,와 나 이제야 이걸 보다니,2020-04-04 04:08,1,0
54,마음의 숙제,13,(sefr****),ㅎㅎㅎㅎ,봉원....당신 최고...,2020-04-04 04:08,1,0
55,마음의 숙제,13,(mu98****),정원,봉원이다 나는 윤봉원이야ㅠㅠㅠㅠㅠㅠ 윤봉원 이름도 좋아 사실 처음엔 유치했는데 윤봉길 의사 생각나고 좋다ㅠㅠㅠㅠㅠㅠㅠ 봉원아ㅠㅠㅠㅠㅠ,2020-04-04 04:08,1,0
56,마음의 숙제,13,(eunj****),피자,봉원이라는 촌스러운 이름이....완전 매력적으로 느껴지기 시작했어....,2020-04-04 04:08,1,0
57,마음의 숙제,13,(gcoy****),rladusdk,와 po집순이wer인 나한테는 낮에도 놀고 밤에도 놀자는 말이 지옥에서 보자는거랑 다름없음ㅋㅋㅋㅋ,2020-04-04 04:08,1,0
58,마음의 숙제,13,(qudh****),시드,다소 편파적인 주관? 이 표현 쓴 분도 결국 자기 편파적인 주관 아닌가 사람마다 생각이 다른건데 왜 자기 생각이 정답인 것처럼 말씀하시지,2020-04-04 04:08,1,0
59,마음의 숙제,13,(lks6****),해든,아씩 너무 솔직하고 뭔가 말못할 느낌있는 사람들이라 서로 트러블 생기는게 누가 문제고 뭐를 해야했다고 말할 수가 없다. 그리고 호선이랑은 다 풀고 진짜 마을 사람들이랑 가족처럼 지냈으면 좋겠다ㅠ,2020-04-04 04:08,1,0
60,마음의 숙제,13,(hima****),믿음소망사랑,아침이라 흡혈귀인 봉원이를 배려해서 불 꺼준 줄 알았더니,2020-02-15 01:33,0,0
