,title,no,ID,nick,content,date,like,dislike
0,모퉁이 뜨개방,3,(amyk****),미라클,"몽글몽글, 따뜻, 포근포근,위로 동화적인 이런 단어들이 떠오르는 만화에요☁️☺️",19시간 전,0,0
1,모퉁이 뜨개방,3,(syh1****),치약맛라면,그림체 무슨일이죠? 오늘부터 제꺼 해요,19시간 전,0,0
2,모퉁이 뜨개방,3,(kong****),kon,힐링된다,19시간 전,0,0
3,모퉁이 뜨개방,3,(seni****),김,오랜만에 다시 보는데 이미 내용을 알고 있어서 그런가 벌써부터 눈물이 나오네요,19시간 전,0,0
4,모퉁이 뜨개방,3,(jjjj****),효원,asmr대신보는데 잘왔네요,19시간 전,0,0
5,모퉁이 뜨개방,3,(plpl****),김길규,2021,19시간 전,0,0
6,모퉁이 뜨개방,3,(ambe****),amb,귀여웡ㅜㅠ,19시간 전,0,0
7,모퉁이 뜨개방,3,(hy11****),hy1,귀여워 ㅠㅠ,19시간 전,0,0
8,모퉁이 뜨개방,3,(fris****),혜진,다시 정주행!,19시간 전,0,0
9,모퉁이 뜨개방,3,(song****),송광필,와 복선.. 대박,19시간 전,0,0
10,모퉁이 뜨개방,3,(2479****),Ssss,오랜만에 힐링하러 왔는데 유료화가 되있었어요ㅠㅜ,19시간 전,0,0
11,모퉁이 뜨개방,3,(khmj****),희망,효도의 방.법.,19시간 전,0,0
12,모퉁이 뜨개방,3,(khmj****),희망,그림체가 예쁘네요~~미안해서 하는 말이야 니가 울고 있어 하는 말이야숨이 막혀 삼키듯 한 말이야 멍청한 가슴이 서두르는 말참고 참아보고 막으려 해도 두 손으로 내 입을 막아봐도내 마음을 써내려간듯한 한마디 사랑해천천히 걸어갈께 한발 두발 내게 익숙한 네 발걸음 한발 두발조금씩 멀어져가다 사라져간다 저벅저벅지워지듯 잊혀질까봐 보이지 않는듯 사라질까봐일초에도 수만번은 되내이는 말 멀리가지마천천히 걸어갈께 한발 두발 내게 익숙한 네 발걸음 한발 두발조금씩 멀어져가다 사라져간다 저벅저벅이게 마지막이라고 한번 두번 지키지 못 할 약속들도 한번 두번다쳐야 하는건 이런 나라고 제발 제발이게 마지막이라고 한번 두번 지키지 못 할 약속들 한번 두번조금씩 멀어져 사라져간다 저벅저벅 다쳐야 하는건 이런 나라고 제발 제발 인생뜨게질이 꽈놔서 성당안다니면 그럴수밖에 없다는것처럼 만들어논 현실,19시간 전,0,0
13,모퉁이 뜨개방,3,(syab****),hwjwhw,복습하니까 너무 슬퍼요 ㅠ ㅠ 오랜만에 펑펑 울고싶을땨 보게돼요 그만큼 따뜻해서 그렇겠죠?,19시간 전,0,0
14,모퉁이 뜨개방,3,(tel0****),sunmoonstar,위로와 사랑이 느껴지는 그림이네요,19시간 전,0,0
15,모퉁이 뜨개방,3,(bbor****),bbo,사랑해,2020-06-20 02:41,0,0
16,모퉁이 뜨개방,3,(sput****),,다시보니까...... 할머니께서 잘어울리네. 하면서 털실이 주시는게 너무.... 너무........ 눈물이 왈칵................ 스포가 되니까 말은 못하겠지만 정말 눈물이 왈칵................. 현이야...................,2020-06-20 02:41,0,0
17,모퉁이 뜨개방,3,(elev****),나무와물,혼자서 살아가면서 뭔가 옆에 있었으면 하는 생각이 들때가 있다. 힘든 삶에 부담을 주지 않고 그냥 옆에서 따스한 느낌을 주는 차와 같은 느낌의 지원,2020-06-20 02:41,0,0
18,모퉁이 뜨개방,3,(bell****),을지,아 유료화ㅠㅠㅠㅠ 정주행 많이 해둘걸 그랬네요...,2020-06-20 02:41,0,0
19,모퉁이 뜨개방,3,(sisi****),마린,오늘부터 이거 정주행이다,2020-06-20 02:41,0,0
20,모퉁이 뜨개방,3,(top_****),이상희,유료라니요ㅠㅜㅠㅠ안됩니다ㅠㅡㅜㅜㅠ,2020-06-20 02:41,0,0
21,모퉁이 뜨개방,3,(1953****),195,지친 일상 외로움 쓸쓸한 친구에게 희망과 삶에 활기를 불어 넣을것같아요.....,2020-06-20 02:41,0,0
22,모퉁이 뜨개방,3,(celi****),세린,이런 따듯한 감정은 처음 이네요,2020-06-20 02:41,0,0
23,모퉁이 뜨개방,3,(dldk****),,ㄷㅁㅎㅣㅅㅁ,2020-06-20 02:41,0,0
24,모퉁이 뜨개방,3,(ailc****),선바님의오른쪽수염,일을 힘겹게 마치고 하루를 마무리 하면서 보는 웹툰... 힐링 그 자체,2020-06-20 02:41,0,0
25,모퉁이 뜨개방,3,(yell****),예린,꺄 24시간 무료라니 감사합니다 쿠키 결제 미성년자라 못하고 있었는데 조금씩이나마 볼 수 있겠어요! :),2020-06-20 02:41,0,0
26,모퉁이 뜨개방,3,(youj****),you,그림 분위기 너무 따듯하고 포근해서 힐링되는 기분....,2020-06-20 02:41,0,0
27,모퉁이 뜨개방,3,(zera****),윤성현,아아 괜히 미루다가 유료화댓네 좀 챙겨볼걸,2020-06-20 02:41,0,0
28,모퉁이 뜨개방,3,(asmi****),미니미니,왜 갑자기 왭툰4화부터 유료가됐어요?즐겨보고있었는데...학생이라아직 결제도못한단말이에요!,2020-06-20 02:41,0,0
29,모퉁이 뜨개방,3,(mirl****),국화향기,이것도 유료화되었네요ㅠㅠ,2020-06-20 02:41,0,0
30,모퉁이 뜨개방,3,(youn****),Boyhood,유로화 되기전에 정주행해서 뿌듯해요!,2020-05-19 17:24,3,0
31,모퉁이 뜨개방,3,(s001****),프리지아,누가 나도 저렇게 옆에 머물면서 챙겨줬으면 🙏🏻,2020-05-19 17:24,3,0
32,모퉁이 뜨개방,3,(yang****),yan,ㅋㅋㅋㅋㅋㅋㅋㅋ 너무 규ㅣ여워요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 꺍,2020-05-19 17:24,3,0
33,모퉁이 뜨개방,3,(uiop****),모모,실 넘 귀엽다ㅜㅜ,2020-05-19 17:24,3,0
34,모퉁이 뜨개방,3,(2008****),200,뽀짝해,2020-05-19 17:24,3,0
35,모퉁이 뜨개방,3,(tjdd****),비단향꽃무,꺄ㅑㅑㅑㅑ,2020-05-19 17:24,3,0
36,모퉁이 뜨개방,3,(dooh****),,치워주는건가?우렁각시인가?,2020-05-19 17:24,3,0
37,모퉁이 뜨개방,3,(akfl****),이유,우렁털시!,2020-05-19 17:24,3,0
38,모퉁이 뜨개방,3,(hang****),한지,그런데 털실이 진짜 살아있으면 징그러울듯,2020-05-19 17:24,3,0
39,모퉁이 뜨개방,3,(gray****),호동,마음이 벌써 따뜻해지네요.,2020-05-19 17:24,3,0
40,모퉁이 뜨개방,3,(lllh****),,개똥이,2020-05-19 17:24,3,0
41,모퉁이 뜨개방,3,(kopj****),골매만 바라봐,"하 , 인제 다 추억인데 ,.. 나는 이 추억을 놓치고 싶지 않아 ..",2020-05-19 17:24,3,0
42,모퉁이 뜨개방,3,(moon****),,아 이걸왜 완결돼서볼까?,2020-05-19 17:24,3,0
43,모퉁이 뜨개방,3,(gmld****),케세라세라87,귀여워 ㅠㅠㅠㅠㅠ,2020-05-19 17:24,3,0
44,모퉁이 뜨개방,3,(wow_****),겨낀낑,우울증같은데..포근하고 힐링되는 스토리가 나올 것 같아서 너무 좋아요,2020-05-19 17:24,3,0
45,모퉁이 뜨개방,3,(wow_****),겨낀낑,와..,2020-03-31 14:42,0,0
46,모퉁이 뜨개방,3,(ksd7****),,어ㅠㅠㅠㅠㅠ작가님 말 너무 따듯하게 하셔요ㅠㅠㅠ,2020-03-31 14:42,0,0
47,모퉁이 뜨개방,3,(haen****),바보BABO2009,귀요워 죽겠어요ㅠㅠㅠ 으으유ㅠㅠㅠㅠ,2020-03-31 14:42,0,0
48,모퉁이 뜨개방,3,(syst****),UUU,지렁잌ㅋㅋㅋㅋㅋ,2020-03-31 14:42,0,0
49,모퉁이 뜨개방,3,(sdak****),kuroneko,람쥐?,2020-03-31 14:42,0,0
50,모퉁이 뜨개방,3,(rara****),avis,귀여워서 눈물이 나 ㅜㅠㅠ,2020-03-31 14:42,0,0
51,모퉁이 뜨개방,3,(smil****),말하는대로,작가님 뒤늦게 보는데 정말 너무 좋네요 ㅠㅠ 마음이 따뜻해지는 느낌이에용!,2020-03-31 14:42,0,0
52,모퉁이 뜨개방,3,(yasm****),벨라,혹시 우렁각시?,2020-03-31 14:42,0,0
53,모퉁이 뜨개방,3,(egni****),도야,ㅠㅠ귀여워,2020-03-31 14:42,0,0
54,모퉁이 뜨개방,3,(r169****),피해자인권이더먼저다,"뭔가..아주 개인적인 생각이지만 이번화는 어쩐지 연애스토리도 될 수 있을 것 같은데, 할머니인 게 좋았어요. 사실 '노인'은 교훈적인 얘기(외면하는 소외된 노인을 돌아보자) 아니면 이야기의 주체로, 특히 대중상업웹툰/웹소설 주인공으로는 거의 안 나오잖아요. 그런데 지친 주인공(현대 젊은이들) 힐링해주시는 주체로 나오셔서 기분이 참 좋네요..플랫폼입장은 돈 되는 작품 고를테니 현판/겜판/로맨스 등이 90프로지만, 그게 나쁘다는 건 아니지만 획일화되기보다 이렇게 점점 이런 저런 이야기 다양하고 창의적인 (물론 재밌는) 작가님들이 많이 늘었으면 좋겠어요. 화요웹툰<숲속의담>도 그렇고 진부한 사랑얘기 홍수에 지쳤는데 풍부해져서 참 좋아요. 사람이 늙어서 민폐인 쓸모없는 몸뚱이가 되어가는 게 아니라고 해주시는 기분이에요. 다른 이의 마음을, 지침을 품어줄 너그러움과 지혜를 가진 뜨개 할머니처럼, 저도 늙어서 그런 좋은 마음 베풀고 고마움을 느낄줄아는 할머니가 되고싶네요.",2020-03-31 14:42,0,0
55,모퉁이 뜨개방,3,(suri****),le premier pas,저 뜨개실이 현이에게 포근함을 주겠지요? 회사동료들은 언니가 죽은걸 모르나봐요.알리지않고 혼자 장례를 치룬건가요?힘들었겠다...,2020-03-31 14:42,0,0
56,모퉁이 뜨개방,3,(aapv****),민트,여기부터가 할머니의 큰그림인건가요(2번째보는중),2020-03-31 14:42,0,0
57,모퉁이 뜨개방,3,(park****),박예진,진짜 힐링웹툰될거 같아요ㅠ 진짜 포근하다..,2020-03-31 14:42,0,0
58,모퉁이 뜨개방,3,(park****),오호우,헝 너무 귀엽자나ㅠㅠㅠㅠ,2020-03-31 14:42,0,0
59,모퉁이 뜨개방,3,(subi****),subeen P,여기서 소름이다ㅜㅜ 털실이 집에 오자마자 여기가 '우리집'인가!!ㅠㅠㅠ,2020-03-31 14:42,0,0
60,모퉁이 뜨개방,3,(khui****),멍냥멍냥,우렁털실(?)처럼 너무 귀여워요!!!! 기대되네요><!!!!!!,2020-03-02 03:14,0,0
