,title,no,ID,nick,content,date,like,dislike
0,미스테리오소,7,(kang****),강민지,이야 벌써 두근두근 설렌다,2021-03-18 23:30,0,0
1,미스테리오소,7,(anni****),ㅁ,아니 다 좋은데 가슴 좀 어떻게 할 수 없나... 어떻게 가슴만 인삐가 나...,2021-03-18 23:30,0,0
2,미스테리오소,7,(kims****),먕고,아..진짜좋다,2021-03-18 23:30,0,0
3,미스테리오소,7,(lyl0****),이유림,지나 너무 잘생김... ㅎ ㅏ,2021-03-18 23:30,0,0
4,미스테리오소,7,(hyuj****),Strict,지엘이라 좋은데 작화가 거슬린다......에휴,2021-03-18 23:30,0,0
5,미스테리오소,7,(ijhj****),공공칠,너무 좋다....,2021-03-18 23:30,0,0
6,미스테리오소,7,(gch0****),삼만살이지안,불편하면 보는 자세를 고쳐 앉아 ㅈ ㅗ ㅈ 같은 인간아,2021-03-18 23:30,0,0
7,미스테리오소,7,(lape****),안동백 집착광,와 나 이런거 너무 좋아ㅠㅠ,2021-03-18 23:30,0,0
8,미스테리오소,7,(msk2****),뭐하지,작화 남잔가? 무슨 여캐 가슴을 저렇게 인체에 벗어나서 매 컷마다 부각시켜 그려놓지 보는 내내 불편했네,2021-03-18 23:30,0,0
9,미스테리오소,7,(jyj0****),제니,그림체도 이쁘고 스토리도 좋아요!,2021-03-18 23:30,0,0
10,미스테리오소,7,(6330****),포그니,휴 맛집이네,2021-03-18 23:30,0,0
11,미스테리오소,7,(euns****),강은서,어떡해...넘 짜릿해!재밌어!,2021-03-18 23:30,0,0
12,미스테리오소,7,(rkdd****),아니,하 좋다..,2021-03-18 23:30,0,0
13,미스테리오소,7,(kohs****),아이린,경미의 연주를 들은 지나의 반응이 어떨지 궁금하네요ㅠ 회차마다 은은한 긴장감과 말로 표현할 수 없는 특유의 분위기가 너무 좋아요,2021-03-18 23:30,0,0
14,미스테리오소,7,(happ****),커피쨈,아이고 여주? 피아노치는애 진짜 되게 안타깝고 그렇다,2021-03-18 23:30,0,0
15,미스테리오소,7,(hkk0****),식혜,집착광공이라니 작가님 사랑해요,2021-01-27 13:06,2,0
16,미스테리오소,7,(ishe****),유진,ㄹㅇ집착광공의 끼가 보이네...,2021-01-27 13:06,2,0
17,미스테리오소,7,(cc_1****),늘봄,냠냠,2021-01-27 13:06,2,0
18,미스테리오소,7,(yuwo****),잉잉,시사받는게 아니고 사사받는거임,2021-01-27 13:06,2,0
19,미스테리오소,7,(iool****),Candice,박력쩔어ㅠㅠㅠㅠㅠㅠㅍ퓨ㅠㅠㅠㅠㅠㅠ,2021-01-27 13:06,2,0
20,미스테리오소,7,(tuop****),짜잔,개좋아,2021-01-27 13:06,2,0
21,미스테리오소,7,(cseo****),rr,이거 gl맞지않나,2021-01-27 13:06,2,0
22,미스테리오소,7,(magi****),시레네,와 이거 Gl 이여도 괜찮을 것 같다는 생각이 살짝 드네.. 근데 하지만 한쪽이 결혼까지 했는걸.. 쓸데없는 푸념을 해봅니다..,2021-01-27 13:06,2,0
23,미스테리오소,7,(sue6****),장수희,미쳤다.....,2021-01-27 13:06,2,0
24,미스테리오소,7,(leef****),lay,ㄹㅇ맛집이다,2021-01-27 13:06,2,0
25,미스테리오소,7,(ljs1****),ㅇㅅㅇ,관계성 맛집이네 후루룩짭짭,2021-01-27 13:06,2,0
26,미스테리오소,7,(koh9****),,이쁘다 얘들아 ....,2021-01-27 13:06,2,0
27,미스테리오소,7,(kgl0****),Laspi,마지막 장면 어깨잡고 얼굴 가까이 하는 거 좋다,2021-01-27 13:06,2,0
28,미스테리오소,7,(jjo1****),공주,댓글 수 와이라노,2021-01-27 13:06,2,0
29,미스테리오소,7,(alic****),퐁퐝,어머님 같은 분이 언제나 하시는 말씀이 '널 위해서' 던데 아니잖아요 결국엔 자기가 애 트로피로 삼고 주변에서 잘 키웠다 칭찬 듣고 싶어서 잖아요^^,2021-01-27 13:06,2,0
30,미스테리오소,7,(kgwb****),루이닐,이제 반할 시간,2021-01-13 11:37,4,0
31,미스테리오소,7,(yeri****),예링,손목잡아끄는데 내가 왜 가슴이 뛰지,2021-01-13 11:37,4,0
32,미스테리오소,7,(pret****),샤바샤바,나도 저런 집에서 살고 싶다...,2021-01-13 11:37,4,0
33,미스테리오소,7,(juju****),커스터드,재밌어어,2021-01-13 11:37,4,0
34,미스테리오소,7,(yunh****),혜인hi,아이고 관계성 완전 맛있네,2021-01-13 11:37,4,0
35,미스테리오소,7,(iowa****),감사합니다,집착광공시작,2021-01-13 11:37,4,0
36,미스테리오소,7,(bo02****),바이,둘이 어쩌다 헤어지게 된걸까ㅜㅜ,2021-01-13 11:37,4,0
37,미스테리오소,7,(cane****),신비주의,별점1점 ㅋ,2021-01-13 11:37,4,0
38,미스테리오소,6,(yumy****),yum,쇼팽 프렐류드 어쩌고 피아노 치는 컷 너무 웃김,2021-03-06 02:39,1,0
39,미스테리오소,6,(xogm****),어,아 왜케 기분 나쁘게 말해,2021-03-06 02:39,1,0
40,미스테리오소,6,(addb****),현지,오윤희 천서진 배로나 하은별 생각나 머 여기선 두명끼리는 친한거 같지만,2021-03-06 02:39,1,0
41,미스테리오소,6,(minj****),퍼랭이,음악이 안들리는데도 들리듯이 소름끼쳐 크으으으으으,2021-03-06 02:39,1,0
42,미스테리오소,6,(hjah****),안벤,선생님 얘기하려고왔는데 베댓이 다 해줬음ㅋㅋㅋ,2021-03-06 02:39,1,0
43,미스테리오소,6,(bsso****),lala,할아버지 변태같음..;;,2021-03-06 02:39,1,0
44,미스테리오소,6,(kohs****),아이린,예술은 재능과 재력이 둘 다 뒷받침해줘야 하는데 재능이 뛰어나지만 가정형편이 좋지 않은 경미와 재능은 평범하지만 뛰어난 재력을 갖고 있는 지나 라는 설정 너무 제 취향... 심지어 gl이라니 평생 사랑할게요,2021-03-06 02:39,1,0
45,미스테리오소,6,(wafe****),침묵하는자의눈빛,남자눈빛이 아주 수상하다,2021-03-06 02:39,1,0
46,미스테리오소,6,(lost****),,여러분 음악 다 친절하게 알려주니까 검색해서 들어보세요 chopin prelude op28 치니까 마침 조성진씨가 친 앨범나오는데 no24 틀으면 주인공이 치는거 모습이랑 겹쳐들려서 좋음,2021-03-06 02:39,1,0
47,미스테리오소,6,(ishe****),유진,아저씨ㅋㅋㅋㅋㅋㅋ아직 별짓 안 했는데 웃는게 너무 흑막이라 벌써부터 경계받고있음ㅠㅠ,2021-03-06 02:39,1,0
48,미스테리오소,6,(dll0****),찬동잉,저 아저씨...김전일에 나오는 범인처럼 생겼...,2021-03-06 02:39,1,0
49,미스테리오소,6,(purp****),김연수,지나엄마 펜트하우스 천서진같다,2021-03-06 02:39,1,0
50,미스테리오소,6,(seo0****),인비,아줌마도 음침하고 수상하게 생겼다 ㄷㄷㄷ,2021-03-06 02:39,1,0
51,미스테리오소,6,(yena****),yen,하이든 협주곡 1번은...내가 작년에 한 것 중 젤 쉬웠는데,2021-03-06 02:39,1,0
52,미스테리오소,6,(para****),opppus,단발 여주가 한 주먹타건은 당타이손이나 조성진 연주에서 볼 수 있어요~!!,2021-03-06 02:39,1,0
