,title,no,ID,nick,content,date,like,dislike
0,보글보글,7,(sony****),갱년기인가,가슴한편이 아려오는 느낌이네요 진짜 좋은웹툰 잘봤어요,2021-04-15 20:17,0,0
1,보글보글,7,(4ska****),제이미,에휴 가스라이팅,2021-04-15 20:17,0,0
2,보글보글,7,(gaeu****),gae,한 화에 한번씩 눈물이 나는데 정상이라고 해줘요,2021-04-15 20:17,0,0
3,보글보글,7,(vtl2****),vtl2kkoma,가슴이 따듯해짐♡,2021-04-15 20:17,0,0
4,보글보글,7,(elfa****),딜믐79부산,이렇게 좋은 웹툰인데 댓글이없누....,2021-04-15 20:17,0,0
5,보글보글,7,(ruda****),경민,"나만 우는 게 아니라서 다행이다,, ㅠㅜㅠㅠㅠㅠ",2021-04-15 20:17,0,0
6,보글보글,7,(bge0****),bge,장미가 나같은게 뭘 할 수 있냐고 괜히 피해만 주는거 아니냐고 했을때 할머니가 괜찮다고 차근차근하면 된다고 처음부터 잘하는 사람 없다고 위로해줄때 눈물 나왔다ㅠㅠ,2021-04-15 20:17,0,0
7,보글보글,7,(sy09****),sy0,이거 보면 할머니보고 싶음..,2021-04-15 20:17,0,0
8,보글보글,7,(doye****),김정태,____ ____ 💧 💧,2021-04-15 20:17,0,0
9,보글보글,7,(yjoo****),yjo,이걸 완결되고 본 제가 한심합니다,2021-04-15 20:17,0,0
10,보글보글,7,(dana****),dan,아유 주책이다... 눙물이 다 나네... (훌쪅...) 8ㅡ8,2021-04-15 20:17,0,0
11,보글보글,7,(b1a4****),윤별,대박웹툰 ⸝⸝ʚ̴̶̷̆ ̯ʚ̴̶̷̆⸝⸝,2021-04-15 20:17,0,0
12,보글보글,7,(qkrw****),,더하셨다면완전대박낫을탠데ㅠㅠ,2021-04-15 20:17,0,0
13,보글보글,7,(hyeo****),김현아,근데 이 웹툰은 왜 업로드 날짜가 다 같은 건가요?,2021-04-15 20:17,0,0
14,보글보글,7,(jiun****),jiu,ㅠㅠㅠㅠㅠ어쪄다가 이왭툰을 보게 는데 정말 감동적이네요ㅜㅜ,2021-04-15 20:17,0,0
15,보글보글,7,(64ye****),,진짜 힐링 웹툰이다,2020-12-23 23:32,3,0
16,보글보글,7,(bmw3****),보리보리,아 ㅋㅋㅋ장미 개우끼닼ㅋㅋㅋ 오락가락하네,2020-12-23 23:32,3,0
