,title,no,ID,nick,content,date,like,dislike
0,안녕 나의 모모로,25,(ming****),최시호,따뜻한 마음 전해주셔서 감사합니다:),1일 전,0,0
1,안녕 나의 모모로,25,(as13****),suna,작가님 이모티콘 만들어주시면 안될까요ㅠㅠㅠ 정말정말 쓰고싶은데 만드시면 잘 쓸 자신 있어요ㅠㅠㅠㅠㅠ,1일 전,0,0
2,안녕 나의 모모로,25,(wewo****),멍작가,"켄타 작가님 정말 너무너무 감사해요ㅠㅠ 우곰이도, 안나모도 늘 이렇게 마음 따뜻해지는 동화웹툰 만들어주셔서 정말이지 행복하답니다❤ 웹툰 보면서 이렇게 눈물콧물 펑펑 흘리며 울어본 건 처음이에요,, 그만큼 마음에 여운이 깊이 남아요ㅠㅠ 로이도 코콩이도 포치도 마을에 사는 모든 동물들과 소인들도 지금처럼 행복하게 잘 살기를 마음 깊이 응원해요! 그리고 무엇보다 작가님의 건강을 위해 기도할게요🙏🏻 오래오래 작가님의 작품을 보고 싶고 함께하고 싶으니까요..! 작가님 푹 쉬시고 쾌유하셔서 언젠가 저희 곁으로, 또다시 따뜻한 이야기 들고 짠~! 나타나주세요❤ 기다릴게요 :) 덕분에 따뜻하고 행복했습니다 감사해요❤❤",1일 전,0,0
3,안녕 나의 모모로,25,(thwj****),소정,우아아앙 작가님 모모로가 죽은 장면 나올때 살짝 무서웠어요 ㅜㅜ 나쁜어둠의 정령이 멸종한거는 다행인데 살짝 로이가 사이코인줄 알았는데 다사정이 있었다니ㅜㅜ 건강회복하시고 곰돌이랑로이랑포치랑 코콩이가 행복했으면 좋겠고 다신 로이가 그런 슬픈 일을 당하지 않았으면 좋겠습니다ㅜㅜㅜ화이팅 하세요ㅜㅜ잔인했지만 재미도 있었어요ㅠㅠ,1일 전,0,0
4,안녕 나의 모모로,25,(jinw****),우쿠리,건강하시고 에..돈길만 걸으시고..!차기작 기대하겠습니다!,1일 전,0,0
5,안녕 나의 모모로,25,(juse****),밍,작가님 수고하셨습니다 ⸝⸝o̴̶̷᷄ o̴̶̷̥᷅⸝⸝ 좋은 작품 너무 잘 봤어요 감사합니다 🥺🤍🤍🤍,1일 전,0,0
6,안녕 나의 모모로,25,(hjs8****),우리자기뽀뽀,작가님수고하셨어요빨리나으시길....,1일 전,0,0
7,안녕 나의 모모로,25,(se7e****),유,작가님 이번작품도 잘봤습니다 건강하기실 바라겠습니다 좋은작품 감사해요 ☺️,1일 전,0,0
8,안녕 나의 모모로,25,(4mes****),여찰리,건강 잘 챙기시고 차기작으로 또 만나요~,1일 전,0,0
9,안녕 나의 모모로,25,(joo_****),주센스,"처음 우곰이 웹툰을 추천해줬던 친구가 작년 세상을 떠나고 저도 작년이 참 힘든 시간이었습니다. 늘 호호군처럼 예쁜 말로 제가 너무너무 힘든 순간이면 먼저 연락해서 위로해주던 소중한 친구였고, 그 누구보다 다정했고 아름다웠는데 한순간 세상을 떠날 수 있다는게 도무지 받아들여지지 않았습니다. 친구가 떠난지 어느덧 1년. 웹툰 목록에 안녕 모모로를 보고 우곰이를 추천해줬던 친구의 다정했던 모습이 떠올라 사실 다음 작품을 보기가 두려웠습니다. 마음 먹고 안녕모모로를 보니, 소중한 사람을 잃은 존재들이 그들을 잘 보내주는 내용인지라 그 친구가 더욱 생각납니다. 그래도 이제는 유진이를 마음으로 보내줄 수 있을 것 같습니다. 좋은 작품 정말 감사합니다. 비록 유진이는 안녕 모모로와 앞으로의 작가님의 작품을 보지 못하겠지만 제가 늘 유진이를 추억하며 감사한 마음으로 보겠습니다. 건강하세요. 오래 좋은 작품으로 만날 수 있었음 좋겠습니다.",1일 전,0,0
