,title,no,ID,nick,content,date,like,dislike
0,연우의 순정,30,(dksw****),포나,누가 주제도 모르고 예쁘다예쁘다하래성희롱 해놓고 대단히 선심 베푼 척하네,1시간 전,1,0
1,연우의 순정,30,(bmkw****),작카,저 OOO들이 진짜 우리 연우오빠 계속 괴롭히네 이런 (삐---)같은 것들이 진짜 (삐------),1시간 전,1,0
2,연우의 순정,30,(jiwo****),민트지우,우욱 잠시만ㅇ 우우욱,1시간 전,1,0
3,연우의 순정,30,(minh****),min,역겨워 쓰레기 새*들,1시간 전,1,0
4,연우의 순정,30,(chld****),설,아 개꼴갑이네 진짜 이목구비 자유분방해서 머리에 뇌가 발로 가 있나? 두 번이나 까였는데 또 온다고? 퉷 더러워서 진짜 꼴아치야 양사납다,1시간 전,1,0
5,연우의 순정,30,(top1****),꼭대기,하랑아 눈치 챘으면 도와줘~해방놓진말고~그리고 잡것들아 우리 연우한테 들이대지마셈ㅡㅡ 남자좋아하는(?) 취향 존중하겠는데 좀 꺼져 연우는 짝 있어 해솔이라고 ㅈㄴ이쁘고 멋지고 잘생기고 남녀노소 다 반하는 여친있어 암만 여자같아요 여친있는 남자한테 들이대는거 아니다~,1시간 전,1,0
6,연우의 순정,30,(milk****),939,아 진짜 너무 싫어 꼭 저러는 것들은 얼굴도 먹다 뱉은 껌 같이 생김 무슨 자존심으로 저러는지 도통 이해할 수X,1시간 전,1,0
7,연우의 순정,30,(sinj****),sin,OOO야 쟤 남자라고 여친까지 있는대다 거의 어미새와 흡사한 남친 아니 친구까지 있다고 그러니깐 작업 좀 걸지마 시* 빨랑빨랑 안꺼져?!?!?!,1시간 전,1,0
8,연우의 순정,30,(kang****),kan,저 수염 확 잡아서 뜯어 버릴까,1시간 전,1,0
9,연우의 순정,30,(5634****),조팝,내 짝사랑이 연우의 순정이다 (씹),1시간 전,1,0
10,연우의 순정,30,(rlag****),점,싘팔넘드라,1시간 전,1,0
11,연우의 순정,30,(kimm****),김,꺼져 걍,1시간 전,1,0
12,연우의 순정,30,(hayo****),하영,아 저 오징어 색히.. 수박씌빌르ㅓ먹을.............,1시간 전,1,0
13,연우의 순정,30,(frog****),치킨냠냠,남주가 헌팅 많이 당하는 웹툰은 처음이야,1시간 전,1,0
14,연우의 순정,30,(juni****),안예쁜 색연필,🌸쓰레기들이여 꺼지세요🌸,1시간 전,1,0
15,연우의 순정,30,(lees****),표소민,ㅁㅊ하랑아 결혼해,1일 전,0,0
16,연우의 순정,30,(1122****),뫄일,아오 저 싹바가지 또 왔네,1일 전,0,0
17,연우의 순정,30,(oliv****),제비꽃,저 그냥 하랑언니 좋아할래요... 언니 사랑해.....,1일 전,0,0
18,연우의 순정,30,(ysj0****),Thymus,우리 연우.. 남자인데 남자들한테 인기 많네,1일 전,0,0
19,연우의 순정,30,(kfgi****),고양이,어우 왜 저러는 거야 진짜 바다만 오면 근자감이 넘쳐,1일 전,0,0
20,연우의 순정,30,(mrgo****),마뤠,해솔이도 마음 있는 것 같은데 왜 다들 불쌍해서 사귀어준다고 생각하는 거지?,1일 전,0,0
21,연우의 순정,30,(bms0****),난새혁,그만해 미친 사람들아,1일 전,0,0
22,연우의 순정,30,(peac****),비공개,허..헐 청하랑 겁나 멋져.. 이뻐.. 언니 사랑해여,1일 전,0,0
23,연우의 순정,30,(kids****),박하사탕,소심한 정도가 아니라 등신같구만,1일 전,0,0
24,연우의 순정,30,(whar****),화령,하...싫다는데 왜 이리 질척거려?,1일 전,0,0
25,연우의 순정,30,(jini****),감자,제발 연우 성격이 조금은 당당해지는 그런..내용이었으면 좋겠다....진짜 답답해..언제까지 주변사람들이 도와만 줄꺼야...,1일 전,0,0
26,연우의 순정,30,(jseo****),빽회장,바다에는 정장을 입은 덩치가 큰 형님들도 가끔 계시던데ㅎㅎ 그냥 그렇다고요ㅎㅎㅎ,1일 전,0,0
27,연우의 순정,30,(dqir****),어어엉,이쁘다는 말이 칭찬인줄 알아요 ㅉㅉ,1일 전,0,0
28,연우의 순정,30,(hj35****),hj3,야 오함마 가져와....연우야...쉬어...어 쉬어....아..이어폰이랑 안대좀 끼고 어...어...쉬어..,1일 전,0,0
29,연우의 순정,30,(khan****),CHA,연우야. 해솔이 오면 말하자.저 여자가 내 여친이다! 나는 남자다! 작업 걸지마라!라고 말하자,1일 전,0,0
30,연우의 순정,30,(jia3****),멋쟁이공주님,해솔이가 여자친구 있다고 하라고 했냐 안했냐 그건 할수있다며!!!,1일 전,1,0
31,연우의 순정,30,(scrt****),이름없음,근데 연우는 자신감 좀 붙어야 할 필요가 있긴해.. 평생 그 성격으로 살긴 힘들거같다,1일 전,1,0
32,연우의 순정,30,(vosh****),이순신,ㅈㄴ 끈질겨 아재들아 낄끼빠빠 쫌;;,1일 전,1,0
33,연우의 순정,30,(kate****),행복해,"저딴 놈들을 보고도 파이어 브레스트를 내뿜지 않는 나, 제법 젠틀해요.",1일 전,1,0
34,연우의 순정,30,(pick****),pic,X발 꺼져,1일 전,1,0
35,연우의 순정,30,(dawo****),눙넹닝,어쭈 아저씨가 노망났나,1일 전,1,0
36,연우의 순정,30,(fix4****),글리,번외로 여자인 연우+준혁 한번만..제발....,1일 전,1,0
