,title,no,ID,nick,content,date,like,dislike
0,진눈깨비 소년,19,(syi0****),서예인,역시 초반이 좋아요,2021-04-16 06:08,0,0
1,진눈깨비 소년,19,(zaoy****),으젠느,아 역시 재밌엉,2021-04-16 06:08,0,0
2,진눈깨비 소년,19,(blue****),actionn,이 음악 좋아하던건데 제목이 뭐더라..,2021-04-16 06:08,0,0
3,진눈깨비 소년,19,(areu****),,정말 최고에요!!,2021-04-16 06:08,0,0
4,진눈깨비 소년,19,(wow7****),,저도 길에서 만나다를 봤어요 :),2021-04-16 06:08,0,0
5,진눈깨비 소년,19,(appl****),김나윤,유료화가 됐으니까아,2021-04-16 06:08,0,0
6,진눈깨비 소년,19,(appl****),김나윤,단행본 사야지~,2021-04-16 06:08,0,0
7,진눈깨비 소년,19,(tldh****),퀵쏘,유료화 ㅋㅋㅋㅋ,2021-04-16 06:08,0,0
8,진눈깨비 소년,19,(ayou****),유아영,너 하면 이 웹툰밖에 생각 안 나 혹시나 하는 마음에 댓글 쓰는 중인데 나랑 같은 마음으로 댓글 확인해 줬으면 좋겠다 같이 얘기하면서 보낸 하루 하루가 너무 소중해 그때도 지금도 진짜 너무 보고 싶어 유지호,2021-04-16 06:08,0,0
9,진눈깨비 소년,19,(ehdu****),rlaehdus,아무리 그래도 너무 빨리 유로화 되는거 아니냐ㅠㅠㅠ개띵작이니깐 봐줌,2021-04-16 06:08,0,0
10,진눈깨비 소년,19,(hl10****),잇힝,웹툰에 재미를 느끼기 시작한 50대 아줌마(나)가 진소를 보다가 길에서 만나다 찾아보기시작함ㅎ,2021-04-16 06:08,0,0
11,진눈깨비 소년,19,(yeon****),하하하하하,1작가님 점점 그림체 바뀌는듯 ..? 아님말고..,2021-04-16 06:08,0,0
12,진눈깨비 소년,19,(cys_****),소링,우린 만날수 없었다.,2021-04-16 06:08,0,0
13,진눈깨비 소년,19,(noiz****),빈콩,수연이는 참 좋은 친구네요,2021-04-16 06:08,0,0
14,진눈깨비 소년,19,(nayo****),윙깅아 꽃길만 걷자,오늘의 명언 : 대한민국 입시제도 엿먹어라,2021-04-16 06:08,0,0
15,진눈깨비 소년,19,(msy4****),허브향기,변태가 확실!ㅋ,2017-11-18 01:56,0,0
16,진눈깨비 소년,19,(jhj9****),힛카츄,2017정주행중! 엿먹어라 대한민국 입시제도~!~!~!~! 그나저나 너무 궁금해애애 다음화보러가야징,2017-11-18 01:56,0,0
17,진눈깨비 소년,19,(sthe****),,"""길에서 만나다"" 도 보고 싶네요",2017-11-18 01:56,0,0
18,진눈깨비 소년,19,(jm10****),,너무 설레요ㅠㅠ 비에 적시는 장난이나 얼굴이 붉어지는거나..,2017-11-18 01:56,0,0
19,진눈깨비 소년,19,(2121****),02,에헤 기다려 봅시다,2017-11-18 01:56,0,0
20,진눈깨비 소년,19,(para****),비오비타,중학교때 괜히 틀어놓고 분위기에 빠지던 탄호이저를 들으니 넘좋네요,2017-11-18 01:56,0,0
21,진눈깨비 소년,19,(znzl****),sowpo,음악은 왜올린거지 안들려 ;;;,2017-11-18 01:56,0,0
22,진눈깨비 소년,19,(luna****),딸기휘핑크림샴페인,작가님 밤그림 넘나 좋음♡취향저격,2017-11-18 01:56,0,0
23,진눈깨비 소년,19,(soeu****),뽀라돌잉,"엄마랑 먼길을 하루만에 왕복하는 기차를 타고 있는데요, 이어폰을 나누어 끼고 엄마가 좋아할 만한 팝송만 골라 듣고 있었는데 이번화를 볼 때 ""문리버"" 노래가 나왔어요~^^ 넘나 잘 어울리는 것~!!~!",2017-11-18 01:56,0,0
24,진눈깨비 소년,19,(ksq3****),아모,갸악,2017-11-18 01:56,0,0
25,진눈깨비 소년,19,(kgwb****),Luinedhel,저 검은 고양이 이름이 없었나...?,2017-11-18 01:56,0,0
26,진눈깨비 소년,19,(lime****),mj,앞뒤옆 보지않고 열정적으로 무언가 하고 해내고 싶다,2017-11-18 01:56,0,0
27,진눈깨비 소년,19,(hong****),홍성민,이런 대사보면 잘해도20화안에 완결일것같은데 거의100화가량 연재하고있단게 함정,2017-11-18 01:56,0,0
28,진눈깨비 소년,19,(thdl****),송예지,흠 전봇대위에인가?ㅎㅎ,2017-11-18 01:56,0,0
29,진눈깨비 소년,19,(kss1****),,천천히 전개해도 괜차나요,2017-11-18 01:56,0,0
30,진눈깨비 소년,19,(like****),,콩국수 좋음,2016-04-23 00:09,0,0
31,진눈깨비 소년,19,(ysm2****),류수민juliana,진눈깨비소년은 종이에 그려지는것이 더 좋을것 같아요!,2016-04-23 00:09,0,0
32,진눈깨비 소년,19,(note****),비,그림사고싶어여,2016-04-23 00:09,0,0
33,진눈깨비 소년,19,(note****),비,와진짜그림사고싶어요,2016-04-23 00:09,0,0
34,진눈깨비 소년,19,(2121****),02,"작가님을 만난 것은 정말 엄청난 행운이였을지도,",2016-04-23 00:09,0,0
35,진눈깨비 소년,19,(kjd3****),,이작품을 많은사람들이 안보는게 중요한게아니고이런명작을 본 사람들이 행운이라고 생각드네요,2016-04-23 00:09,0,0
36,진눈깨비 소년,19,(3340****),토롱,마지막ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2016-04-23 00:09,0,0
37,진눈깨비 소년,19,(llda****),날님,작가님 좋은 작품 감사합니다,2016-04-23 00:09,0,0
38,진눈깨비 소년,19,(chuk****),핑크에이드,드디어 현재인가요?,2016-04-23 00:09,0,0
39,진눈깨비 소년,19,(song****),ㅅㅈㅁ,엿먹어라 대한민국 입시제도..킁..나지금시험기간인데ㅜ,2016-04-23 00:09,0,0
40,진눈깨비 소년,19,(oimi****),뮤지컬인생,"<길만>도 좋고 <진소>도 좋고ㅡ좋고, 좋고, 좋고♥",2016-04-23 00:09,0,0
41,진눈깨비 소년,19,(320l****),,영화같다,2016-04-23 00:09,0,0
42,진눈깨비 소년,19,(tkff****),나요미,"adieu(아디으)..라는 인사는 다시 볼 수 없을 때 하는 인사에요.Au revoir(오 흐부아) 라는 안녕이 또 보자, 라는 뜻이구요..",2016-04-23 00:09,0,0
43,진눈깨비 소년,19,(s222****),아장아장,ㅇ ㅏ 정말 따뜻하고 담담하고 소곤거리는 웹툰... 좋네요 정말.,2016-04-23 00:09,0,0
44,진눈깨비 소년,19,(qkde****),브라운,너무좋아요,2016-04-23 00:09,0,0
45,진눈깨비 소년,19,(qkde****),브라운,사랑합니다 작가님,2015-08-21 23:59,1,0
46,진눈깨비 소년,19,(seve****),BK201,수체화느낌이 나는걸 수체화느낌이난나고하지 모라함..?,2015-08-21 23:59,1,0
47,진눈깨비 소년,19,(gkse****),,음악이랑 대사하나하나 그림하나하나가 소름끼치게 어우러지면서 맞아떨어져요......너무좋아요ㅠㅠ,2015-08-21 23:59,1,0
48,진눈깨비 소년,19,(cynt****),,엿먹어라 한국 입시제도. 돈 먹이고 대학 보내려는 부모들과 자식들이 있으니 또 외국 입시스타일로 못하는게 현실이지만 ( 더 심해질테까),2015-08-21 23:59,1,0
49,진눈깨비 소년,19,(baej****),배찌,이제야정주행중 하루만에 이만큼 ㅎㅎ,2015-08-21 23:59,1,0
50,진눈깨비 소년,19,(jija****),달빛,여름방학 이후에 우진이 다시 파리로 돌아가게 되나요..왜 볼 수 없다고 할까...고백에 대한 답은 어쩌고. 10년도 넘은 후에 다시 알아볼 수 있을까...첫사랑은 알아볼 수 있을지도.,2015-08-21 23:59,1,0
51,진눈깨비 소년,19,(syle****),뚜비두바,하! 드디어회사진입!!!,2015-08-21 23:59,1,0
52,진눈깨비 소년,19,(very****),lalahaha,이 화가 나온날 이 화에서 나오는 남산에서 그녀한테 고백해서 처음 사귀게 됬습니다.집에 돌아와서 톡을 하는데 우리가 그날 갔던 남산이 웹툰에 나와서 깜짝놀랐어요 ㅎㅎ그리고 2개월전 그녀와 남산에서 이별했고요.다시 정주행하다가 이 화를 보니까 더 생각이 많이 나네요.작가님 계속 잘보고 있습니다. 오늘 처음으로 구독료 내네요.,2015-08-21 23:59,1,0
53,진눈깨비 소년,19,(kwae****),프레이리,'길에서 만나다'는 전작인가 보네요. 꼭 찾아서 봐야겠습니다.,2015-08-21 23:59,1,0
54,진눈깨비 소년,19,(wrbs****),포커,"여기나로는 풍경, 도시 야경을 보면 가슴이 벅차다. 어릴 적 바라보건 모습같아 그런가. 너무 너무 좋다.",2015-08-21 23:59,1,0
55,진눈깨비 소년,19,(ybri****),힙경,어우 이 화 대박,2015-08-21 23:59,1,0
56,진눈깨비 소년,19,(wlsl****),,포우 보고싶다.. 포우~~,2015-08-21 23:59,1,0
57,진눈깨비 소년,19,(bomi****),,앜ㅋㅋㅋㅋㅋㅋㅋ 저기에세워두시다니,2015-08-21 23:59,1,0
58,진눈깨비 소년,19,(ddan****),홍양이,아.. 나도 이런 사랑... 해본적 있었나..?애 낳고 살다보니 가물가물..참 풋풋하다...^^,2015-08-21 23:59,1,0
59,진눈깨비 소년,19,(russ****),딸기파이,어머나 하하.마지막에 귀여운 아이들 보고 삥.터지고 갑니다 ㅋㅋ,2015-08-21 23:59,1,0
60,진눈깨비 소년,19,(sicc****),나로말할것같으면,??급전개..당황,2015-03-03 02:28,0,0
61,진눈깨비 소년,19,(gmpy****),보능아,오늘 따라 가슴이 먹먹해서 더 못 보겠다.. 고등학교 시절로 다시 돌아가고 싶다,2015-03-03 02:28,0,0
62,진눈깨비 소년,19,(autu****),가을향기,드디어 시작인가요?? ㅎㅎ,2015-03-03 02:28,0,0
63,진눈깨비 소년,19,(zxc8****),왕코,왜고백안햇어,2015-03-03 02:28,0,0
64,진눈깨비 소년,19,(song****),맘별,ㅋㅋㅋㅋㅋㅋ그림찾기너무재밌네요,2015-03-03 02:28,0,0
65,진눈깨비 소년,19,(jeri****),,엿먹어라 대한민국 입시제도,2015-03-03 02:28,0,0
66,진눈깨비 소년,19,(k697****),분홍색부엉이,헉..!,2015-03-03 02:28,0,0
67,진눈깨비 소년,19,(sjsk****),냠냠이,후훟ㅅㅅ~,2015-03-03 02:28,0,0
68,진눈깨비 소년,19,(jyn3****),,미...,2015-03-03 02:28,0,0
69,진눈깨비 소년,19,(mint****),,우왕~^^,2015-03-03 02:28,0,0
70,진눈깨비 소년,19,(thql****),소비,좋아요~~^^,2015-03-03 02:28,0,0
71,진눈깨비 소년,19,(bnm6****),돌새,길만 정말 좋아요ㅠㅠㅠㅠㅠㅠ,2015-03-03 02:28,0,0
72,진눈깨비 소년,19,(twin****),123,길만♡,2015-03-03 02:28,0,0
73,진눈깨비 소년,19,(hyoj****),효,전 길만보다가 진소로!!!!,2015-03-03 02:28,0,0
74,진눈깨비 소년,19,(case****),,우후후후후후후후후후후ㅜ후후후ㅜ후후ㅜ 좋다.,2015-03-03 02:28,0,0
75,진눈깨비 소년,19,(6906****),이브나,고3은 눈깜짝할새니까요... .,2014-12-06 13:50,0,0
76,진눈깨비 소년,19,(wkdr****),Seotaiji,"좋다.그림도, 대사도",2014-12-06 13:50,0,0
77,진눈깨비 소년,19,(nigh****),순두부,앜....,2014-12-06 13:50,0,0
78,진눈깨비 소년,19,(rkdm****),스킷,?!?!,2014-12-06 13:50,0,0
79,진눈깨비 소년,19,(kapm****),,"아 못참고 또보고있네~~저도 이거읽고, 길에서만나다로 넘어갈께요!!",2014-12-06 13:50,0,0
80,진눈깨비 소년,19,(gofk****),ㅁㄹㅀㄹ,♥,2014-12-06 13:50,0,0
81,진눈깨비 소년,19,(rlag****),킴행,이제 수능이 끝나고 몰아보는데 수능 디데이100이라니 정말 돌아가고싶은 시간이다,2014-12-06 13:50,0,0
82,진눈깨비 소년,19,(coo2****),김곰돌,분량대박,2014-12-06 13:50,0,0
83,진눈깨비 소년,19,(jym1****),제로,올ㅋ,2014-12-06 13:50,0,0
84,진눈깨비 소년,19,(wjdq****),덩99,이거 Richard wagner 노래맞죠 제가 미국에서 이거 배웠는데 리카드 바그너,2014-12-06 13:50,0,0
85,진눈깨비 소년,19,(bara****),code77777,엿먹어라 대한민국 입시제도너무 맘에 와닿는말...,2014-12-06 13:50,0,0
86,진눈깨비 소년,19,(ooin****),달팽,우연히 알게 되서 첫 화부터 천천히 감상중인 몇 화만에 팬이 돼버린 사람입니다 한 화를 보는 데 십분 이상 걸릴 정도로 한 컷 한 컷 작품을 감상한단 마음으로 보고 있는데요 글도 글이지만 차분하고 서정적인 작가님만의 그림체로 그려진 배경 하나하나 볼 때마다 상상력을 더해 소설을 보는 웹툰을 보며 처음 느끼는 새로운 기분이에요 그런데 첫 화부터 죽 이어서 보고 있는 독자로서 전전 화부터 배경에 힘이 좀 빠지고 급하게 그리신듯한 느낌이 들어 한 화 한 화 계속 보면서 이어져오는 전달되는 마음의 흐름이 끊기는 느낌이 들어 좀 아쉽습니다 좋아하지만 너무 아쉬워서 남겨요ㅠㅠ 그래도 이렇게 좋은 작품 감상할 수 있어 좋아요 고맙습니다,2014-12-06 13:50,0,0
87,진눈깨비 소년,19,(kind****),콩알이,재밌다 이대작 잔잔함 짱♥,2014-12-06 13:50,0,0
88,진눈깨비 소년,19,(dolp****),g하이,초등학생이네요!일주일뒤에는수능봐요...,2014-12-06 13:50,0,0
89,진눈깨비 소년,19,(blue****),actionn,작가님 그림이 너무좋아요,2014-12-06 13:50,0,0
90,진눈깨비 소년,19,(spid****),고쿠데라,그림 개못그리네 유치원생 수준인듯ㅋ,2014-10-31 00:05,0,6
91,진눈깨비 소년,19,(wak0****),으엌이,와;; 물감으로스캔한거 쩌시네.. 완죤 잘그리심.... 굿굿,2014-10-31 00:05,0,6
92,진눈깨비 소년,19,(swdu****),멍멍우,10년 ㅠㅠ,2014-10-31 00:05,0,6
93,진눈깨비 소년,19,(happ****),,ㅠㅠㅠㅜㅜㅠㅠㅠ그림진짜멋져요 다,2014-10-31 00:05,0,6
94,진눈깨비 소년,19,(boso****),,조으당당,2014-10-31 00:05,0,6
95,진눈깨비 소년,19,(rin7****),이서정,앞으로 어떻게 되려나 ^^,2014-10-31 00:05,0,6
96,진눈깨비 소년,19,(dbd1****),정예원,♥♥,2014-10-31 00:05,0,6
97,진눈깨비 소년,19,(112a****),애정씨,ㅠ 윽,2014-10-31 00:05,0,6
98,진눈깨비 소년,19,(minj****),김민정,전화기 없다면서 전화기가 있네 .....,2014-10-31 00:05,0,6
99,진눈깨비 소년,19,(sh99****),회오리감자,드디어만났다!!!!,2014-10-31 00:05,0,6
100,진눈깨비 소년,19,(azh0****),한꼭지,뭐지ㅋㅋ정말 영화같은 만남이군ㅌ,2014-10-31 00:05,0,6
101,진눈깨비 소년,19,(nala****),하하하,저는 수작업으로 스캔하는거 알고 있었어요ㅋㅋ그림판으로 저런 거 그려내는 거 자체가 좀 불가능해요.저도 미술 준비하는 학생이라 작가님 채색하는 것을 자세히 보는데 그림판으로 저런 수채화 채색 나올 수 없을 정도로 진짜 물감처럼 채색하는게 똑같거든요ㅎㅎ,2014-10-31 00:05,0,6
102,진눈깨비 소년,19,(spac****),1004 돌콩,꼭대기에 있을줄알음,2014-10-31 00:05,0,6
103,진눈깨비 소년,19,(ghkd****),hwa,저런게 진짜 운명적인만남....,2014-10-31 00:05,0,6
104,진눈깨비 소년,19,(plac****),Ju,그림이 너무 좋아서 웹툰에 댓글 처음 달아봅니다. 풍경들이 하나같이 다 좋아서 스크롤 내리다 말고 보고 있게 되네요. 언젠가 종이로도 볼 수 있으면 좋겠네요. 아 좋다.,2014-10-31 00:05,0,6
105,진눈깨비 소년,19,(ldu8****),NellholIc,달달하오ㅎ,2014-10-08 07:30,0,0
106,진눈깨비 소년,19,(wdcj****),조혜란,뭐이 이 빠른 전계는 왠 십년..ㅠㅠㅠㅠ...이유가 궁금하군ㄴ,2014-10-08 07:30,0,0
107,진눈깨비 소년,19,(wond****),화이팅,나도 그 사람과 다시 만날 날이 올까,2014-10-08 07:30,0,0
108,진눈깨비 소년,19,(dhtm****),꿈소망,주인공이 어른이 되고 그림체가 약간 바뀐 것 같아요! 아닌가??ㅠ,2014-10-08 07:30,0,0
109,진눈깨비 소년,19,(to_t****),Sue,그나저나 검은고양이 항상 귀여움,2014-10-08 07:30,0,0
110,진눈깨비 소년,19,(hamb****),보람,와 그림진짜이뻐요. ㅠ,2014-10-08 07:30,0,0
111,진눈깨비 소년,19,(96gp****),롤,너무 이쁘다 색감❤️,2014-10-08 07:30,0,0
112,진눈깨비 소년,19,(tldm****),붉은꽃,재미쏘43211098765432110,2014-10-08 07:30,0,0
113,진눈깨비 소년,19,(seo1****),핑크핑크,길에서만나다도다봤어요♥♥♥이작가님작품들은다감넝넘치고놓쳤던거를다시세세하게보는거같아서너무좋아요~,2014-10-08 07:30,0,0
