,title,no,ID,nick,content,date,like,dislike
0,환생동물학교,5,(vivi****),소리야,"두번째 베댓님이 말씀하신 이야기,패트리샤 플라코의 책 '꿈꾸는 레모네이드 클럽'인 것 같아요!항암치료를 받고 돌아온 소녀가 머리카락이 없으니그 친구들이 모두 머리를 깎고 소녀를 환영했다고 하죠...스토리도 그림도 교훈도 훌륭하니 모두 읽어 보세요ㅠㅠㅜㅜ!!",2021-04-12 20:41,0,0
1,환생동물학교,5,(k022****),유설,하 블랭키 개사랑해 어떻게 그렇게 귀엽지..? 내가 리트리버 키워서그런가 블랭키 정감..,2021-04-12 20:41,0,0
2,환생동물학교,5,(lemo****),lem,에구 아가들 너무 착하네,2021-04-12 20:41,0,0
3,환생동물학교,5,(doda****),dod,의자 너무 귀엽다 앉으면 꼬리 ㅠㅠㅠ,2021-04-12 20:41,0,0
4,환생동물학교,5,(yong****),,깔때기 너무 불편하겠다.그래도 친구들이 똑같이 깔때기를 써주니까 고양이도 좋아하네난 고슴도치가 너~~~~~~~~~~~~~~~~~~~~~~무나 귀여웡~~~~~~~~~~~~~~~~~~~~~~~~~!!!!!!!!!!!!!,2021-04-12 20:41,0,0
5,환생동물학교,5,(luke****),luke0723,더 없잖아... 엄마 졸라서 사달라고 해야징,2021-04-12 20:41,0,0
6,환생동물학교,5,(gmt1****),좋은밥,우리집고양인 중성화하고 뺌,2021-04-12 20:41,0,0
7,환생동물학교,5,(wjgt****),wjg,내 최애 캐릭터 peep이 여기서 나왔구나.....peep,2021-04-12 20:41,0,0
8,환생동물학교,5,(gusg****),민이밍뉘,우리 고양이는 저거 뺐어요,2021-04-12 20:41,0,0
9,환생동물학교,5,(kjh1****),비오는 서점,너무 이쁘고 사랑스럽다...,2021-04-12 20:41,0,0
10,환생동물학교,5,(inod****),,맷:우린 깔때기가 필요해 부채가 아니라!카마라:바보야 이건 전개도라는거야맷:음..? 그래? 그래도 우린 전개도가 아니라 깔때기가 필요해!카마라:....그래 알았다고,2021-04-12 20:41,0,0
11,환생동물학교,5,(wl43****),지혜,카마랔ㅋㅋㅋㅋㅋㅋ 고슴도치는 왜 쎀ㅋㅋㅋㅋㅋㅋㅋㅋㅋ튜ㅠㅠ,2021-04-12 20:41,0,0
12,환생동물학교,5,(kimy****),kim,넥카라를 깔때기라니ㅋㅋㅋㅋㅋㅋ 느무 귀여워요 ㅋㅋㅋㅋㅋ,2021-04-12 20:41,0,0
13,환생동물학교,5,(deah****),하늘이 있잖아,마지막 카마라 봐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ쿠ㅜㅜㅜㅜㅜ 맷이 트롤짓해서 빡쳤어 둘다 존귀,2021-04-12 20:41,0,0
14,환생동물학교,5,(deah****),하늘이 있잖아,쯔양아 귀여워,2021-04-12 20:41,0,0
15,환생동물학교,5,(lemo****),민두,고슴도치 얘기 왜 없우ㅠㅠㅠ,2020-08-25 23:03,1,1
16,환생동물학교,5,(hams****),이럴것까지,쯔양이 꼬리 풍부해ㅋㅋㅋㅋㅋ부풀부풀,2020-08-25 23:03,1,1
17,환생동물학교,5,(rlae****),rla,인간이 할줄아는게 많은데...,2020-08-25 23:03,1,1
18,환생동물학교,5,(jeni****),구마,고개 갸웃하는거 귀여워ㅋㅋㅋㅋㅋㅋㅋ실제로 저런 행동한다는 걸 아니까 더 귀엽다,2020-08-25 23:03,1,1
19,환생동물학교,5,(vixx****),어이없네,밑분 무슨 소리지 추천완결이잖아요 이거 끝 아니고 24시간마다 나오는데,2020-08-25 23:03,1,1
20,환생동물학교,5,(ojgy****),ojk,근데 왜 완결이 5화에서 끝나지? 아쉽다 더 했으면...,2020-08-25 23:03,1,1
21,환생동물학교,5,(dhkv****),올챵이,힐링만화야 ㅜㅜ너무 귀엽다 ㅜㅜㅜ가자가자 왤케 귀엽 ㅋㅋ ㅋㅋㅋㅋㅋ,2020-08-25 23:03,1,1
22,환생동물학교,5,(imaw****),생이건이,부채가 아니라 깔때기ㅠㅠ 커엽이야요,2020-08-25 23:03,1,1
23,환생동물학교,5,(cuih****),l8오8l,나이거 스티커 있어요 동생이 발견했다능...무슨 스티컨지 웹툰에서 봣던건데 이제야ㅠ알겠넹여,2020-08-25 23:03,1,1
24,환생동물학교,5,(7jun****),귀능이 덕후,애들너무 착하다~~정화됐어....,2020-08-25 23:03,1,1
25,환생동물학교,5,(aiju****),안냐,저 이거 책으로 보려고여 너무 귀엽고 천사같네여,2020-08-25 23:03,1,1
26,환생동물학교,5,(vvip****),vvi,공짜는 여기가 끝인가 어쪄지 어쪄긴어째 공짜됄때까지 가다려얒,2020-08-25 23:03,1,1
27,환생동물학교,5,(kimm****),김민주,하심장아파요,2020-08-25 23:03,1,1
