,title,no,ID,nick,content,date,like,dislike
0,뷰티플 게임,18,(js93****),미니파쇄,안녕~~~~~~~~~~,2일 전,0,0
1,뷰티플 게임,18,(fant****),판타스틱,와 2021년이다아앙,2일 전,0,0
2,뷰티플 게임,18,(phw0****),phw,내일이면 2021년임,2일 전,0,0
3,뷰티플 게임,18,(ljh0****),3point8코리아,이거 작가는어떻게되었을까?,2일 전,0,0
4,뷰티플 게임,18,(bear****),이승재,(2020-10-27),2일 전,0,0
5,뷰티플 게임,18,(seo9****),예언자,2020,2일 전,0,0
6,뷰티플 게임,18,(ll29****),이재용,52,2일 전,0,0
7,뷰티플 게임,18,(aabo****),꽃다운나,주인공의 입장이 이해가 되어서.. 몰입해서 봤어요좋은작품 감사합니다 정말 감사합니다,2일 전,0,0
8,뷰티플 게임,18,(cwj5****),치피,ㅎㅎ,2일 전,0,0
9,뷰티플 게임,18,(dlrk****),강력테이프,아니 웹툰을 뭐라고 하는게 아니라 독자들 상태가 왜 이 모양이여 ㅋ,2일 전,0,0
10,뷰티플 게임,18,(dlrk****),강력테이프,ㅈㄴ 웃기네 ㅋ 사격 웹툰엔 사격 배우는 베댓들 나오고 축구 웹툰엔 축구 배우는 베댓이 보이고 피겨 웹툰엔 피겨 베댓 ㅋㅋ ㅈㄴ 웃기네 ㅋ,2일 전,0,0
11,뷰티플 게임,18,(joum****),해피맘,마지막으로 세라좀 때리지,2일 전,0,0
12,뷰티플 게임,18,(mi11****),,더러운 로스케,2일 전,0,0
13,뷰티플 게임,18,(tjsr****),동,가끔 봤는데 피겨했던 사람으로 가끔 그림에서 실제 태릉선수촌링크장이 보였을때마다 반가웠어요 잘봤습니다^^,2일 전,0,0
14,뷰티플 게임,18,(2hye****),달소녀,명작 잘 보고갑니다!!,2일 전,0,0
15,뷰티플 게임,18,(rudt****),경식,재미있게 봣습니다~~,2017-01-10 23:17,1,0
16,뷰티플 게임,18,(hell****),조수민,ㅁㄷ,2017-01-10 23:17,1,0
17,뷰티플 게임,18,(sr01****),Luke,막댓,2017-01-10 23:17,1,0
18,뷰티플 게임,18,(pete****),성율,감사합니다 작가님 짐심으로.. 저는 피겨 그리고 김연아 선수를 보며 살 정도입니다.그치만 전 환경이 좋지못해 피겨를 배우지 못했습니다.그치만 이만화를 보고 마음의 치유가 좀 된것 같습니다.제가 왜 이만화를 늦게 봤는지...저도 엄청 후회가 됩니다. 쨎든 감사합니다.,2017-01-10 23:17,1,0
19,뷰티플 게임,18,(0503****),귄,막댓,2017-01-10 23:17,1,0
20,뷰티플 게임,18,(ostk****),kellt,좋은 작품 잘 봤습니다 너무 감사드려요,2017-01-10 23:17,1,0
21,뷰티플 게임,18,(jsmh****),샛별,이거.. 리메이크 해서 길게 하면 좋을것같다..ㅠ 내용도 좋고 다 괜찮은데.. 전개가 너무 빨라..ㅠ,2017-01-10 23:17,1,0
22,뷰티플 게임,18,(rkfk****),,땅콩리턴,2017-01-10 23:17,1,0
23,뷰티플 게임,18,(latz****),라찌,연아 언이 고맙습니댜,2017-01-10 23:17,1,0
24,뷰티플 게임,18,(ppoy****),뽀힐러,축전.ㅋㅋㅋ 진짜 짱입니다.ㅎㅎㅎㅎ 리턴 너무 감명깊게 잘 봣어욘..ㅠㅠ,2017-01-10 23:17,1,0
25,뷰티플 게임,18,(love****),유키,막댓,2017-01-10 23:17,1,0
26,뷰티플 게임,18,(amy0****),JY,완결 웹툰에서 우연히 들어온 건데 넘 짧아서 아쉽.....지금까지 본것중에 가장 짧앙ㅜ,2017-01-10 23:17,1,0
27,뷰티플 게임,18,(2112****),뿡,막댓,2017-01-10 23:17,1,0
28,뷰티플 게임,18,(gari****),간장,무엇이든지 후회하지 말고.,2017-01-10 23:17,1,0
29,뷰티플 게임,18,(jhlk****),,보는 동안 연아언니 생각만 났어요. 저도 피겨배우고 있는데 부상은 그리 오진 않고요. 다만 힘들뿐 입니다. 이걸 7살부터 시작한 연아언니 존경스럽고 감사합니다.,2017-01-10 23:17,1,0
30,뷰티플 게임,18,(sara****),세라,세나는 겨운이 띄워주는 역할이었나;;제일 열심히 했는데,2014-07-13 01:46,0,1
31,뷰티플 게임,18,(as91****),초록애벌레,정주행 끝!,2014-07-13 01:46,0,1
32,뷰티플 게임,18,(hkch****),,감사합니다 작가님짐심으로..저는 피겨 그리고 김연아 선수를 보며 살 정도입니다.그치만 전 환경이 좋지못해 피겨를 배우지 못했습니다.그치만 이만화를 보고 마음의 치유가 좀 된것 같습니다.제가 왜 이만화를 늦게 봤는지...저도 엄청 후회가 됩니다.쨎든 감사합니다.,2014-07-13 01:46,0,1
33,뷰티플 게임,18,(khu0****),은츄츄지,저피겨배우는데 정말 힘들어요 ㅠㅠ하지만. 재미쨩이죠^^,2014-07-13 01:46,0,1
34,뷰티플 게임,18,(alse****),,소트니코바 ㅅㅂ1,2014-07-13 01:46,0,1
35,뷰티플 게임,18,(1004****),클로버,제나작가 퀄보소...,2014-07-13 01:46,0,1
36,뷰티플 게임,18,(elqu****),네스,으앜ㅋㅋㅋ닥프축전 보고 빵터졌네요ㅋㅋㅋㅋ어디서 많이 본 사람이다 했더닠,2014-07-13 01:46,0,1
37,뷰티플 게임,18,(sjse****),석승재,연아선수고만말해,2014-07-13 01:46,0,1
38,뷰티플 게임,18,(snai****),샤인유,헐 제나님.... 이종범님......ㅓㄹ.......닥프도 오래됬구나...,2014-07-13 01:46,0,1
39,뷰티플 게임,18,(song****),Zearatul,임덕영작가님그림이재미있어요^^,2014-07-13 01:46,0,1
40,뷰티플 게임,18,(rlae****),폭포500,역시 제나님 ㄷㄷ,2014-07-13 01:46,0,1
41,뷰티플 게임,18,(ryus****),미르,"처음부터 마지막까지 계속.. 자랑스런 김연아 선수가 생각났어요. 이번 소치 올림픽에 출전했던 자랑스런 대한민국 선수들.. 피겨, 쇼트트랙, 봅슬레이 등등 그리고.. 컬링! 너무너무 자랑스럽습니다. 수고하셨습니다. 고맙습니다.",2014-07-13 01:46,0,1
42,뷰티플 게임,18,(todw****),,혜진작가님은 축전도 폼난당,2014-07-13 01:46,0,1
43,뷰티플 게임,18,(arie****),Ariel,헐 제나작가님 축전 퀄이..bb,2014-07-13 01:46,0,1
44,뷰티플 게임,18,(tjdq****),,고맙습니다.김연아,2014-07-13 01:46,0,1
45,뷰티플 게임,18,(seoj****),시나브로,김연아 전성기시절알게된 웹툰..3년이 흘렀네요퀸연아 감사합니다 그리고 미안합니다,2014-02-22 23:57,30,0
46,뷰티플 게임,18,(loll****),pink밍크,연아언니 감사해요 함깨해줘서,2014-02-22 23:57,30,0
47,뷰티플 게임,18,(chin****),LoveGirlSJ,재심사 서명운동 참여합시다 https://www.change.org/en-CA/petitions/international-skating-union-isu-open-investigation-into-judging-decisions-of-women-s-figure-skating-and-demand-rejudgement-at-the-sochi-olympics,2014-02-22 23:57,30,0
48,뷰티플 게임,18,(hdd1****),파파라치,https://www.change.org/en-CA/petitions/international-skating-union-isu-open-investigation-into-judging-decisions-of-women-s-figure-skating-and-demand-rejudgement-at-the-sochi-olympics김연아 선수를 도와줘요 서명운동,2014-02-22 23:57,30,0
49,뷰티플 게임,18,(ser_****),1111,연아야 고마워,2014-02-22 23:57,30,0
50,뷰티플 게임,18,(dpsh****),곰탱이,이웹툰 진짜 아쉬운게 내용도 좋고 그림체도 괜찮은대.....너무 정리가 안돼있어....조금만 정리됐어도 보기가 편할탠대.....,2014-02-22 23:57,30,0
51,뷰티플 게임,18,(leeh****),늘진진,김연아마지막 쇼트보고 이웹툰생각나서 보러왔어요 진짜 노력하는 당신들이 너무멋집니다!,2014-02-22 23:57,30,0
52,뷰티플 게임,18,(thdu****),,김연아 74.92,2014-02-22 23:57,30,0
53,뷰티플 게임,18,(jun2****),초꼬파이,앜ㅋㅋㅋㅋ이종범작가님축전에서 조교 윤성이가 하고있엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋzz,2014-02-22 23:57,30,0
54,뷰티플 게임,18,(dlsg****),김현희,ㅋ,2014-02-22 23:57,30,0
55,뷰티플 게임,18,(khyl****),Khylin,작가님 남자셨어????!?!!!,2014-02-22 23:57,30,0
56,뷰티플 게임,18,(allu****),초록마루,남봉잌ㅋㅋㅋㅋㅋㅋ 표정리 진지햌ㅋㅋㅋ,2014-02-22 23:57,30,0
57,뷰티플 게임,18,(dbwl****),레베카,하하하하.... 신기하네....그래도 완결 축하드려요!!,2014-02-22 23:57,30,0
58,뷰티플 게임,18,(dbtk****),흐린하늘,단편이지만 정말제 마음에 와다아서 울어버렸네요ㅠ정말 재밌었습니다.,2014-02-22 23:57,30,0
59,뷰티플 게임,18,(kim5****),새뮤얼콜트,정말 잘 보고갑니다 ㅎㅎ... 추천!!,2014-02-22 23:57,30,0
60,뷰티플 게임,18,(ghkw****),토끼공주,으앙ㅜ,2013-11-12 21:14,0,0
61,뷰티플 게임,18,(arie****),축복이,재미 겁나 없어여,2013-11-12 21:14,0,0
62,뷰티플 게임,18,(rt08****),,닥터프로스틐ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 나 저커플 싫은뎈...ㅜ.ㅜㅜ,2013-11-12 21:14,0,0
63,뷰티플 게임,18,(csb7****),,우와..ㅇㅁㅇ 이런숨은명작이..진심 대박ㅋㅋㅋㅋㅋㅋㅋ,2013-11-12 21:14,0,0
64,뷰티플 게임,18,(voca****),보컬소녀,우리나라 피겨선수 화이팅.. 쉬운 운동이란게 없구나..,2013-11-12 21:14,0,0
65,뷰티플 게임,18,(five****),오성장군,리턴이라는 천연비누상표가있는데그거생각나서들어와봄-리턴힐링센터-,2013-11-12 21:14,0,0
66,뷰티플 게임,18,(kys0****),예슬공주,감동적이었어요...,2013-11-12 21:14,0,0
67,뷰티플 게임,18,(ye02****),꼬마,닥터프로스트도오래됬구나,2013-11-12 21:14,0,0
68,뷰티플 게임,18,(wjsc****),꼬꼬마천사,역시제나작가가젤이뻐♥,2013-11-12 21:14,0,0
69,뷰티플 게임,18,(ppph****),달려라고고씽,와제나작가님헌다,2013-11-12 21:14,0,0
70,뷰티플 게임,18,(hr05****),떡림이,왕 감동,2013-11-12 21:14,0,0
71,뷰티플 게임,18,(8543****),다은,저는이만화를보고많이배움과동시에해보고싶다는생각이들었답니다^^,2013-11-12 21:14,0,0
72,뷰티플 게임,18,(iosc****),사코씨,이거...좀더 길었으면 좋았을텐데...아쉬움이 남는 웹툰...ㅎ,2013-11-12 21:14,0,0
73,뷰티플 게임,18,(soc0****),,차기작안나오시나봐여,2013-11-12 21:14,0,0
