,title,no,ID,nick,content,date,like,dislike
0,빅맨,33,(ceji****),노렸던안면슛,역시 명진이는 송태섭이었어!,3시간 전,0,0
1,빅맨,33,(kgsj****),내길,송태섭이 초단신가드가 가능했던건 도내 넘버원 고릴라와 말도 안되는 운동신경으로 커버쳐주는 강백호가 존재했기에,3시간 전,0,0
2,빅맨,33,(rsh3****),Kg21,현란한 크로스오버에 등번호 3번.. 아아 아이버슨..!!,3시간 전,0,0
3,빅맨,33,(kivc****),복복이,10초만에 다봐지네,3시간 전,0,0
4,빅맨,33,(rlfk****),봉기람,키작아도 드리블 잘하면 농구잘할수 있어욥!,3시간 전,0,0
5,빅맨,33,(haya****),hay,멋지다..아니 귀엽다...아니 본받고싶다...아니 ....뭐 쓰지?,3시간 전,0,0
6,빅맨,33,(fled****),lee,CP9 인가,3시간 전,0,0
7,빅맨,33,(ppan****),,설전에는 설전으로 ㅋ 그리고 실력으로 발라버렷,3시간 전,0,0
8,빅맨,33,(jack****),김정균,저 노랑머리 새끼 왜 계속 혀 내밀고잇냐당기고싶다,3시간 전,0,0
9,빅맨,33,(free****),정우성,베댓 댓글알바들아ㅋㅋㅋ자꾸 재밌다만 앵무새처럼 씨부리는데 이거 재밌는 부분 세세하게 말하라면 말 할 수 있냐?ㅋㅋㅋㅋ,3시간 전,0,0
10,빅맨,33,(dkwo****),잉간,쿠로코의농구...?,3시간 전,0,0
11,빅맨,33,(j-hj****),j-h,저 ㅅㄲ 표정아랑 말투 ㄱ 빡치네 말할거면 표종이라도 똑버로 하던가 뭘뭘 더러운 혓바닥 내밀거 있어 ㅅㄲ야 맞을래?,3시간 전,0,0
12,빅맨,33,(naha****),nah,밑댓아 넌 동양인들이 하는 것만 봤냐? 당장 nba 봐봐라ㅋㅋㅋ 리그를 지배하고 있는 포지션이 누군데? 🤣,3시간 전,0,0
13,빅맨,33,(auto****),이리야,농구라는게 장신 5명 넣고 실력만 받쳐주면 이기는게임이라. 키큰사람한테 너무 유리한 스포츠고 그런 불합리한게임이라 만화로 보는거말고는 그닥 안좋아함..,3시간 전,0,0
14,빅맨,33,(juho****),주호,신성한화장실에서 입을놀리다니,3시간 전,0,0
15,빅맨,33,(ehdw****),신동진,아이버슨같아서 ㅈㄴ 멋있네,1일 전,1,0
