,title,no,ID,nick,content,date,like,dislike
0,탑코너,72,(whda****),wow,실제로도 저렇게 겜할수있으면 꿀잼이겠는데,46분 전,0,0
1,탑코너,72,(ohoh****),Jay,오.. 손오공의 외국식 이름인가 오공손,46분 전,0,0
2,탑코너,72,(dlwh****),때까치,"맥텐 보니깐 추워 생각나네, 추마스랑 2시즌동안 해처먹은 개사기총",46분 전,0,0
3,탑코너,72,(dlal****),MinENG2,NO FULL AUTO IN BUILDING!,46분 전,0,0
4,탑코너,72,(vkfn****),돼지쿤,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,46분 전,0,0
5,탑코너,72,(skwm****),아,이런 활동을하는 웹툰이면 여캐들은 레깅스에 브라탑 입고 나와야죠 작가님 센스가 없으시네,46분 전,0,0
6,탑코너,72,(rlaw****),allpll,지리네,46분 전,0,0
7,탑코너,72,(pump****),Miru,보급관누나...,46분 전,0,0
8,탑코너,72,(minj****),호구,아 위로 올라가라 ㄹㅇ ㅠㅠㅠ,46분 전,0,0
9,탑코너,72,(bsb0****),bsb,총 🔫 바꿔 😀,46분 전,0,0
10,탑코너,72,(kdk0****),김개미,mac-10... 워존의 황소개구리...,46분 전,0,0
11,탑코너,72,(h200****),h20,나는 총보는 맛으로본다,46분 전,0,0
12,탑코너,72,(wild****),,ㅋㅋㅋㅋㅋ,46분 전,0,0
13,탑코너,72,(zeld****),패왕,"😡😡😡😡😡널리 퍼트려 주세요😡😡😡😡😡유치원, 초등학교 대상 페미니즘을세뇌교육] 2017년부터 시작. 페미니스트 교사들이 페미 판 딥웹에서 상부 지령을 받아 매우 조직적으로 아직 성장기인 저학년아이들에게 페미니스트 시위 영상들을 보여주면서 따라하게 하고 , 반 페미 학생에게는 교사가 직접 학급에 왕따 분위기를 조성하는 것이 대한민국에서 벌어지고 있습니다. 성평등을 주장하는 단체가 *몰래* 아이들을 세뇌하고 교육을 거부하는 학생의 경우 교사가 왕따를 주도한다고 합니다. 또한 USB, SSD와같이 철저한 준비를하고 증거인멸을 위해서 학부모에 들킬시 파기를 하라는 지시까지 있을정도로 철저하다고 합니다. <<페미니즘 교사집단 논란 청원>>https://www1.president.go.kr/petitions/Temp/WHNMtw 현재 19만명 동의, 청원내 첨부링크 확인바람( ' 뻑가 페미니즘 교사집단 ' 검색후 댓글에 링크)😡😡😡😡😡😡😡😡😡😡",46분 전,0,0
14,탑코너,72,(r6ma****),r6m,아ㅋㅋ 노말가스는 ㅇㅈ이지,46분 전,0,0
15,탑코너,72,(thdn****),김태석,이거보고 에어소프트건 시작했다 기본장비만 맞추는데 200깨졌어요 ㅋㅋㅋㅋㅋ,6시간 전,1,0
16,탑코너,72,(lsuh****),Lupelt,베도랑 최강자전때부터 봤는데 스토리도 신선하고 작가님이 몇 번 스토리 리뉴얼 하실 정도로 작품 전개에 대한 고심도 많이 하시던데....작가님 진짜 너무 재밌습니다ㅠ,6시간 전,1,0
17,탑코너,72,(hawo****),haw,진짜 왤케 재밌냐고 이건 왜 아래에 있는데 위로 올라가지 ㅠㅠ,6시간 전,1,0
18,탑코너,72,(skwm****),아,이웹툰은 여캐들 노출만 좀 하면 바로 뜰 수 있을건데 끝까지 안하네... 이제 곧 여름인데 여캐들 비키니 한번 쫙 그려봅시다 작가님 ㅋ,6시간 전,1,0
19,탑코너,72,(lee1****),Le1291,아니 ㅋㅋㅋㅋ 작가의 말 그 rpg로딩창 팁같다고 ㅋㅋㅋㅋ,6시간 전,1,0
20,탑코너,72,(lowe****),low,"""여기가 내 필드다""",6시간 전,1,0
21,탑코너,72,(gree****),배곯은고냥,어우야 저런 여고생들.. ㅗㅜㅑ,6시간 전,1,0
22,탑코너,72,(rose****),개복치,ㄹㅇ 이거 뜨면 좋겠음ㅠ 그리고 매번 작가의 말 게임 로딩이나 튜토 넘어갈때 쓰여있는 팁 같아ㅋㅋㅋㅋ,6시간 전,1,0
23,탑코너,72,(jeon****),정야,저게...정녕...여고생의 피지컬이란 말인가...?,6시간 전,1,0
24,탑코너,72,(kimd****),크리퍼,전쟁터에서는 보급도 중요하지. 아니 보급이 중요하지,6시간 전,1,0
25,탑코너,72,(bibl****),전대영,그와중에 목소리까지 듣는 그녀...,6시간 전,1,0
